[Fri 12:07]	<manu1>	scribe: manu1
[Fri 12:08]	<manu1>	Topic: Issues with PaySwarm and Simplicity
[Fri 12:08]	<manu1>	pelle: I'd like to start out by discussing how this group has been operating. I'm going to send out an e-mail to the mailing list. I'm a bit unhappy about how this process has been progressing, it doesn't seem to be a W3C standard, it seems as if people think that PaySwarm is going to be the solution. I think that OpenTransact is just as good of a solution. I've been very open about how to integrate, but I don't think that there has been much in the way of feedback on that. I feel it's very important that we do things simply. For example, the Agenda today is quite irrelevant. We should only discuss this if we are going to follow PaySwarm. I completely disagree with that approach of having a full, all encompassing standard. I feel like I'm wasting my time.
[Fri 12:12]	<manu1>	manu: You raise a valid point, but I think that there have been no other strong proposals put forward. 
[Fri 12:12]	<manu1>	pelle: I believe I have. Out of not wanting to make this a PaySwarm vs. OpenTransact debate, I haven't proposed that yet. But that is what I'm going to propose today via e-mail. I'm going to propose OpenTransact as a basis for the W3C Web Payments work.
[Fri 12:12]	<manu1>	manu: I think that would be good, please do that - we need to thoroughly vet these ideas.
[Fri 12:12]	<manu1>	manu: Perhaps your reading on it is that we're trying to "push PaySwarm as the solution" is... well, you could look at it in two different ways: The whole reason this group started was because our company decided to place all of this technology into an open protocol, into an open standard, we led by producing working code, specifications, Web vocabularies, and then publishing those to the Web. We are completely open to modifications on the proposals, we're completely open to different approaches to the problem as long as it addresses the use cases. If OpenTransact can do that, we should consider it strongly. We need to vet these ideas, so please send the proposal to the list. Does that alleviate some of your concerns?
[Fri 12:13]	<manu1>	pelle: Yes, I'll send a proposal to the list later on today. I haven't done that because I don't want to step on any toes... I wanted to guide PaySwarm into what I think is a realistic standard. Right now, it's too all-encompassing. I feel like input I've given is not reflected in the Web API.
[Fri 12:13]	<manu1>	taaz: What parts of the PaySwarm spec do you have issues with? We do understand the need for low-level functionality, but we're trying to define the whole ecosystem. We don't want just the low-level stuff. Maybe that's the better approach, but...
[Fri 12:13]	<manu1>	pelle: Well, I think we need to keep things very low level. For example, Vendor Registration doesn't need standardization yet... I don't think. That's something that different service providers could have their own, from that you could work out a standard for it. A standard is needed for payments right now, standard response format, querying whether a payment went through - that has to be done in a simple, low-level generic way. People need to use that for a while before we go in and create the higher-level stuff.
[Fri 12:14]	<manu1>	pelle: For example, I see digital signatures as a great option for receipts, but for payment, I don't see that. It's very complex, the PaySwarm spec.
[Fri 12:15]	<manu1>	manu: The spec is as complex as it needs to be to address the use cases we've laid out. In principle, I don't disagree with you, Pelle. However, we need to address the use cases. I think the issue is that nothing has been proposed that addresses all of the use cases...
[Fri 12:15]	<manu1>	pelle: I think OpenTransact has been proposed, but not directly, to be the underlying low-level standard before. I think we put too much work into the use cases, we spent 2-3 months going through use cases. It's classic waterfall, not a historically successful model for creating standards. We need to start with simpler things. We can support all of the use cases using a combination of HTTP and HTML.
[Fri 12:18]	<manu1>	manu: ... but that's exactly what we're trying to standardize here - how /do/ you support all of these use cases? 
[Fri 12:18]	<manu1>	pelle: Exactly.
[Fri 12:18]	<manu1>	manu: We need to understand exactly how each one of those use cases are addressed, we can't just simply say they can be addressed and not show how they can be technically addressed. That's what I'm concerned about. When you get down to the technical details, some of those use cases cannot be addressed, for example - decentralization, receipts, cannot be addressed without getting a bit more complicated with the implementations. Again, I agree with you in principle... but we have not seen a technical solution yet that addresses all of the use cases that we've interested in.
[Fri 12:18]	<manu1>	pelle: I believe OpenTransact does.
[Fri 12:18]	<manu1>	manu: I do not believe that OpenTransact solves some of the use cases that have been put forward. However, if you can make the technical case that it does, I see no reason why we couldn't also standardize OpenTransact. The end result of this community group could be two different specs for dealing with payments on the Web. It might be OpenTransact + PaySwarm. We shouldn't look at this as an all-or-nothing thing. Maybe OpenTransact is better at solving a subset of use cases, maybe PaySwarm is better at another subset. 
[Fri 12:18]	<manu1>	pelle: This is why I've been proposing the layered, step-wise approach. It's how many successful standards have been created. I think that is important, we do not need to address all use cases there. 
[Fri 12:18]	<manu1>	q+
[Fri 12:18]	<voip-ps>	Added manu1 to the speaker queue: manu1
[Fri 12:18]	<manu1>	pelle: I think there are a number of technologies out there that already solve the distributed use cases. It can already be done via OAuth. I don't see the need for most of the PaySwarm standard. It's definitely not following a layered approach, I thought we agreed it was going to do that?
