[Fri 12:05]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2012Jan/0058.html
[Fri 12:06]	<manu1>	scribe: manu1
[Fri 12:06]	<manu1>	Manu: Any additions to the Agenda, before we start?
[Fri 12:06]	<manu1>	Manu: Since discussing this stuff with the OT folks, it became clear that we didn't have enough in the spec. So, we detailed the algorithms we're using in the current implementation in the spec, let's review those today.
[Fri 12:06]	<manu1>	Manu: Transactions, decentralized settlement, data migration, transaction intents, and web keys have been split.
[Fri 12:07]	-->|	dln (~davidnico@cpe-69-76-179-81.kc.res.rr.com) has joined #payswarm
[Fri 12:07]	<manu1>	Jeff: Looked through the split - interesting. We have been discussing OpenTransact and PaySwarm.
[Fri 12:07]	<manu1>	Jeff: At some point we need to hone in on that decision. I don't think we can accommodate everything.
[Fri 12:07]	<manu1>	Manu: Yeah, there are more splits on the way.
[Fri 12:08]	<manu1>	Jeff: At some point, we have to pick a particular track and focus on that. We need to pick a direction and go with it.
[Fri 12:08]	<manu1>	Manu: Yes, I agree. It was important to have the discussion, now we need to pick a direction.
[Fri 12:08]	<manu1>	Topic: PaySwarm Innotribe@Sibos
[Fri 12:09]	<manu1>	Manu: Positive news - Peter Vander Auwera invited us to present PaySwarm at Innotribe @ Sibos in Osaka, Japan in October of this year. This is a great opportunity to get the standard in front of the world's financial sector.
[Fri 12:11]	<manu1>	Manu: Sibos is the world's banking conference. Innotribe focuses on innovation in banking. Peter invites new payment technologies to come and speak. Last year they had Bitcoin, Bank Simple, etc. speak. Invited to speak at two events - a great opportunity for us.
[Fri 12:11]	<manu1>	Manu: I asked Peter if he understood what PaySwarm does and he really had a very strong grasp of what we're going for - a universal payment standard for the Internet. He got it, it was nice to see someone in the financial sector really understand what we're trying to do here.
[Fri 12:11]	<manu1>	Manu: We are going to be speaking at the Future of Money talk and a break-out session on payment APIs.
[Fri 12:11]	<manu1>	Lehn: Who else is speaking there?
[Fri 12:11]	<manu1>	Manu: 40-80 people, Bitcoin folks, Bank Simple folks, etc. It's very early days.
[Fri 12:12]	<manu1>	Topic: Updated PaySwarm Editors Draft
[Fri 12:12]	<manu1>	http://payswarm.com/specs/ED/web-api/2012-01-16/
[Fri 12:12]	<manu1>	Manu: The latest Editor's Draft for the PaySwarm Web API has been updated. The updates were directly influenced by the month-long conversation we've been having w/ the OpenTransact folks. The positive that came out of it was that it made us realize that we were focusing too much on implementation and not enough on specs and explanation of what we're doing here.
