[Tue 14:02]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2012May/0024.html
[Tue 14:03]	<dlongley> scribe: dlongley
[Tue 14:03]	<dlongley>	manu: today's call is mostly about w3c's headlights program for 2012 and what our position is on Dave Raggett's questions
[Tue 14:03]	<dlongley>	manu: both Doug Schepers and Dave Raggett have asked us to think about how web intents in payments would work
[Tue 14:03]	<dlongley>	manu: the other thing they've asked is for some kind of review on the state of art for payments
[Tue 14:03]	<dlongley>	manu: we may follow up on what technologies we ought to focus on and what the w3c should focus on over the next year on webpayments
[Tue 14:04]	<dlongley>	manu: so we're going to discuss the direction to take, etc.
[Tue 14:04]	<dlongley>	manu: any updates/changes to the agenda?
[Tue 14:04]	<dlongley>	dlongley: nope
[Tue 14:04]	<manu1>	Topic: Web Intents for Payment
[Tue 14:04]	<manu1>	http://www.w3.org/wiki/Payments_Task_Force#Payments_and_Web_Intents
[Tue 14:04]	<dlongley>	manu: first, the most "dangerous" thing that dave raggett hinted at in his email
[Tue 14:04]	<dlongley>	manu: this is for web intents for payment
[Tue 14:05]	<dlongley>	manu: it seems a lot of people in the w3c think web intents would go a far way in handling webpayments
[Tue 14:05]	<dlongley>	manu: without really covering interoperability
[Tue 14:05]	<dlongley>	manu: Dave Lehn, didn't you implement some web intents stuff at some point?
[Tue 14:05]	<dlongley>	dlehn: i made a quick demo for buying images/etc... stuff like that using the new scheme handler/registration stuff. It had more to do with payment schemes, but it would more or less work the same way.
[Tue 14:06]	<dlongley>	manu: the w3c is thinking of doing a demo with webpayments with webintents
[Tue 14:06]	<dlongley>	manu: the idea is you get your payment provider from web intents ...
[Tue 14:06]	<dlongley>	manu: but a lot of what payswarm does isn't in there
[Tue 14:06]	<dlongley>	manu: some of the w3c people don't seem to be aware of this interoperabilty issue.
[Tue 14:07]	<manu1>	dlongley: A couple of thoughts - web intents are a good way to pick your payment provider.
[Tue 14:07]	<manu1>	dlongley: You visit your payment provider, and that site registers for 'pay' web intent - you go to another site and the browser's interface shows you that you can use visa, payswarm provider, etc. to do that. In PaySwarm, how does the client pick their PaySwarm provider?
[Tue 14:08]	<manu1>	dlongley: We chose not to address this because BrowserID and Web Intents were going to address it - works well for NASCAR problem. It's fine when the website owner doesn't have a large stake in what's going on... but when they want to sell a good or a service, they need to receive money... fundamentally different situation from login or photo preferences. Dealing with money requires far more trust and security than photos.
[Tue 14:08]	<taaz>	The quick demo I tried was using registerProtocolHandler API: http://lists.w3.org/Archives/Public/public-webpayments/2011Oct/0013.html
[Tue 14:09]	<manu1>	dlongley: There must be a greater level of trust between vendor and customer and payment provider - there are also two payment providers involved, potentially. There are four parties that need to trust each other, and two parties that need to interoperate (from a financial standpoing).
