[Tue 14:04]	<manu-db>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2012Jul/0003.html
[Tue 14:05]	<dlongley-db>	scribe: dlongley-db
[Tue 14:05]	<dlongley-db>	manu: any updates or changes to the agenda before we start?
[Tue 14:05]	<manu-db>	Topic: Aligning of JSON Web Keys and Security Vocabulary
[Tue 14:05]	<manu-db>	http://tools.ietf.org/html/draft-ietf-jose-json-web-key-00
[Tue 14:05]	<manu-db>	http://payswarm.com/specs/source/vocabs/security
[Tue 14:06]	<dlongley-db>	manu: melvin, over the weekend, asked if there was going to be any aligning of these two specifications
[Tue 14:06]	<dlongley-db>	manu: his question was whether if the jwk spec overlaps with the web keys spec, actually.
[Tue 14:06]	<dlongley-db>	manu: after looking at the jwk spec in detail, we came to the conclusion that it's much closer to the security vocab spec than the web keys spec.
[Tue 14:06]	<dlongley-db>	manu: the jwk spec is an ietf spec that describes how you express a public key and its parameters in json
[Tue 14:07]	<dlongley-db>	manu: it's a purely a container mechanism/format
[Tue 14:07]	<dlongley-db>	manu: it doesn't talk about registering keys, generating them, or signing with related private keys, it's just for expressing them in json
[Tue 14:07]	<dlongley-db>	manu: the security vocab also does this but also provides other things in the vocabulary
[Tue 14:07]	<dlongley-db>	manu: including signature parameters/how to express other PKI information
[Tue 14:08]	<dlongley-db>	manu: the question is whether or not those two vocabs need to be merged or if they are doing different things, etc.
[Tue 14:08]	<manu-db>	dlongley-db: I do think we need to ensure that whatever is spec'd in JSON Web Keys do have properties in the Security Vocabulary.
[Tue 14:09]	<manu-db>	dlongley-db: If people just want to use the JSON Web Keys spec, you can just add a "@context" via JSON-LD to that data to translate it to the Security Vocabulary easily.
[Tue 14:09]	<dlongley-db>	manu: so your suggestion is to use Json-ld to map jwk to the security vocab?
[Tue 14:10]	<manu-db>	dlongley-db: Yeah, I think that woudl be fine if people opt to continue using JWK. We can try to align it as much as needed, but since JSON-LD allows the easy mapping, they're mostly compatible now.
[Tue 14:10]	<dlongley-db>	dlehn: are you sure that they are really compatible?
[Tue 14:10]	<dlongley-db>	dlehn: if you are using simple strings for algorithms and we're using urls then we could have compatibility issues
[Tue 14:10]	<dlongley-db>	manu: we could create/change the vocabulary to take strings or URLs to deal with that
[Tue 14:11]	<dlongley-db>	manu: for example, let's say that the value is either a URL or a base64-encoded PEM value ... an application could easily tell the difference
[Tue 14:11]	<dlongley-db>	manu: so the application interacting with the vocab could handle it
[Tue 14:11]	<dlongley-db>	manu: so even without perfect compatibility there's a way around it, we just have to make sure that the jwk vocab works with the security vocab
[Tue 14:11]	<dlongley-db>	manu: lehn, have you looked and seen any conflicts?
[Tue 14:12]	<dlongley-db>	dlehn: not in detail, but the algorithm property looked like it could be an issue
[Tue 14:12]	<dlongley-db>	manu: the way we express an algorithm in the security vocab now is a string
