[Tue 14:01]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2012Aug/0021.html
[Tue 14:02]	<dlongley>	scribe:dlongley
[Tue 14:02]	<dlongley>	manu: Today we'll be reviewing the client-side purchase process, reviewing the alpha 4 payswarm release status update, and discussing the html5 web apps demo
[Tue 14:02]	<dlongley>	manu: Over the last couple of telecons we've been discussing the web key creation/registration process, the asset/listing registration process, and then the final part of that whole process is purchasing the asset
[Tue 14:02]	<manu1>	Topic: Client-side Purchase Process
[Tue 14:02]	<manu1>	https://github.com/digitalbazaar/payswarm.js/blob/master/examples/purchase-asset.js
[Tue 14:02]	<dlongley>	manu: the link to the source code in github is in IRC (above)
[Tue 14:03]	<dlongley>	manu: so the assumption at this stage in the process is that a vendor has created and registered a webkey with a payswarm authority, they've created an asset and listing, signed and published those
[Tue 14:03]	<dlongley>	manu: and the final step here is having a customer/buyer purchase the asset that has been listed for sale on the web
[Tue 14:03]	<manu1>	https://github.com/digitalbazaar/payswarm.js/blob/master/examples/purchase-asset.js#L75
[Tue 14:04]	<dlongley>	manu: the other examples have a config part in the source code and that happens at the link in IRC
[Tue 14:04]	<dlongley>	manu: if the listing isn't specified in the config then the program will prompt (via the command line) the user/customer for a listing URL
[Tue 14:04]	<manu1>	https://github.com/digitalbazaar/payswarm.js/blob/master/examples/purchase-asset.js#L132
[Tue 14:04]	<dlongley>	manu: next, the listing is fetched over the web
[Tue 14:05]	<dlongley>	manu: it doesn't matter where it is on the web, because it is digitally-signed and we know by whom
[Tue 14:05]	<dlongley>	manu: it can be from anywhere
[Tue 14:05]	<dlongley>	manu: what the example supports is a JSON-LD listing, it isn't HTML/RDFa here in this example, but other purchase clients support this
[Tue 14:05]	<dlongley>	manu: for example, if you use the wordpress demo linked from dev.payswarm.com all of the asset/listing information is listed in HTML via RDFa
[Tue 14:06]	<dlongley>	manu: a client goes to the HTML page there and gets the RDFa data and builds the JSON-LD listing from that information
[Tue 14:06]	<dlongley>	manu: here, the request for the data just asks for JSON-LD
[Tue 14:06]	<dlongley>	manu: and it is easier/more direct
[Tue 14:06]	<manu1>	https://github.com/digitalbazaar/payswarm.js/blob/master/examples/purchase-asset.js#L154
[Tue 14:07]	<dlongley>	manu: so next you just give the purchase call the listing
[Tue 14:07]	<dlongley>	manu: and the transaction service for processing the purchase (this is the buyer's payswarm authority)
[Tue 14:08]	<dlongley>	manu: you also give it who you are, your source financial account for paying for the asset, your public key ID (URI) for indicating which key you used to sign your purchase request, and your private key for signing your purchase request
[Tue 14:08]	<dlongley>	manu: so the payswarm client will do all of that for you
[Tue 14:08]	<dlongley>	manu: it will sign your purchase request and send it to your payswarm authority, which in turn, will check the amounts are correct on the listing, it is a valid listing, valid asset, everything checks out
[Tue 14:09]	<dlongley>	manu: and if all of that passes, then the authority will run the transaction and then return a digitally-signed receipt back to you
[Tue 14:09]	<dlongley>	manu: the receipt will be signed by the authority
[Tue 14:09]	<dlongley>	manu: the receipt is a shortened form of the contract (a summary) whereas the contract will have all of the fine grained details about your purchase
[Tue 14:10]	<manu1>	dlongley: Yeah, the process is fairly straight forward.
[Tue 14:10]	<dlongley>	manu: the receipt will just have the summary of what you bought, etc.
[Tue 14:11]	<manu1>	dlongley: One thing that we should add, is that there is a budgeting system built in. You can associated various vendors with budget amounts. So you can say that Vendor A is associated with the "Games" budget... which may be set at $10/month.
[Tue 14:11]	<manu1>	dlongley: You can make purchase requests using those budgets. If you omit the account you want to pay with, or you specify a budget ID, the purchase can be run using a budget. If you don't want to accidentally go over your budget, the purchase won't go through.
[Tue 14:12]	<manu1>	dlongley: You can always manage details of your budget via the PaySwarm Authority. It's very useful to limit spending, or not be bothered when purchasing something (do it in the background).
