[Wed 09:48]	<schuki>	Manu, I might need to just attend on IRC - big meeting happening here at GSMA today, but I will be paying attention!
[Wed 10:15]	<manu-db>	ok Natasha, thanks for the update - we'll be recording the audio for the call, so you can always listen to it later (or just read the minutes)
[Wed 11:00]	<voip-ps>	Manu Sporny (SIP/6000-00000187) has joined the conference.
[Wed 11:00]	<voip-ps>	Dave Longley (SIP/6002-00000188) has joined the conference.
[Wed 11:01]	<voip-ps>	Dave Lehn (SIP/6003-00000189) has joined the conference.
[Wed 11:01]	<voip-ps>	<unknown> (IAX2/diamondcard-8680) has joined the conference.
[Wed 11:01]	<manu-db>	voip: 8680 is bshambaugh
[Wed 11:01]	<voip-ps>	bshambaugh is now associated with IAX2/diamondcard-8680.
[Wed 11:03]	<manu-db>	scribe: dlongley
[Wed 11:03]	<manu-db>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2013Apr/0100.html
[Wed 11:04]	<dlongley>	manu: today is basically going to be a review of everything that has been going on in the past month/month and a half
[Wed 11:04]	<voip-ps>	<unknown> (IAX2/diamondcard-9851) has joined the conference.
[Wed 11:04]	<dlongley>	manu: and an update for each one of the projects
[Wed 11:04]	<dlongley>	bshambaugh: does web payments collaboration go into what's going on in various groups, etc.?
[Wed 11:04]	<dlongley>	manu: yes, and we'll put down a timeline for what's going on in the future
[Wed 11:05]	<voip-ps>	<unknown> (IAX2/diamondcard-135) has joined the conference.
[Wed 11:05]	<manu-db>	voip: 9851 is mcavage
[Wed 11:05]	<voip-ps>	mcavage is now associated with IAX2/diamondcard-9851.
[Wed 11:05]	<manu-db>	voip: 135 is john
[Wed 11:05]	<voip-ps>	john is now associated with IAX2/diamondcard-135.
[Wed 11:05]	<voip-ps>	<unknown> (SIP/sip.linphone.org-0000018a) has joined the conference.
[Wed 11:06]	<manu-db>	voip: mute john
[Wed 11:06]	<voip-ps>	john has been muted.
[Wed 11:06]	<manu-db>	voip: mute mcavage
[Wed 11:06]	<voip-ps>	mcavage has been muted.
[Wed 11:06]	-->|	mcavage (~mcavage@c-76-121-137-102.hsd1.wa.comcast.net) has joined #payswarm
[Wed 11:06]	<dlongley>	manu-db: are there any updates/changes to the agenda?
[Wed 11:07]	<manu-db>	voip: unmute john
[Wed 11:07]	<voip-ps>	john has been unmuted.
[Wed 11:07]	<manu-db>	voip: mute john
[Wed 11:07]	<voip-ps>	john has been muted.
[Wed 11:07]	<manu-db>	voip: unmute mcavage
[Wed 11:07]	<voip-ps>	mcavage has been unmuted.
[Wed 11:07]	<taaz>	if we have time we could talk about the recent rise of crypto currencies in the public and how that fits into this work
[Wed 11:07]	<manu-db>	voip: mute mcavage
[Wed 11:07]	<voip-ps>	mcavage has been muted.
[Wed 11:08]	<dlongley>	Topic: Introductions
[Wed 11:08]	<dlongley>	manu-db: my name is Manu Sporny. I'm currently the chair of RDFa, JSON-LD, and web payments groups at W3C. Also CEO of Digital Bazaar, our primary interest is in figuring out a way to build payments into the core architecture of the Web.
[Wed 11:08]	<manu-db>	dlongley: my name is Dave Longley - co-founder and CTO of Digital Bazaar. Spend most of my time doing software/spec design and implementation for PaySwarm.
