[Wed 11:06]	<manu-db>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2013Jun/0033.html
[Wed 11:07]	<manu-db>	scribe: manu-db
[Wed 11:07]	<manu-db>	manu: Today on the agenda, we're covering Andrei's progress on the open Web Apps marketplace. Discussing getting rid of the whitelist for payments API for mozPay and issues surrounding that.
[Wed 11:07]	<manu-db>	manu: Any updates or changes to the agenda?
[Wed 11:07]	<manu-db>	Topic: Update on GSoC Student Progress
[Wed 11:08]	<manu-db>	andreio: Since the last time, I was able to complete Web Keys registration process for PaySwarm. The site is up here:
[Wed 11:08]	<andreio>	http://webpayments.jit.su/
[Wed 11:08]	<manu-db>	andreio: There is still an issue w/ registration process, but that should be fixed today
[Wed 11:08]	<manu-db>	andreio: Next goal is to get asset and listings working. I have a question regarding that.
[Wed 11:09]	<manu-db>	andreio: Asset and listing may be decentralized, does that mean that after I create an asset/listing for a good/service - should the user receive a digital receipt?
[Wed 11:09]	<manu-db>	andreio: Does the asset and listing only remain on the website where they were created?
[Wed 11:11]	<manu-db>	manu: In PaySwarm, assets and listings are decentralized. They are digitally signed by the content creator or vendor and they have a validity period associated with them. This means that they can be taken and placed anywhere on the Web and they'll still work.  For your demo, you will have the asset and listing on the marketplace website.
[Wed 11:11]	<manu-db>	andreio: Does an asset have a public URL just as the PaySwarm identity?
[Wed 11:13]	<manu-db>	dlongley: asset and listing should have their own URLs, public is good practice.
[Wed 11:13]	<manu-db>	manu: it's also possible to have private assets and listings - basically, assets and listings that transact a unique good where the asset and listing are unique to the transaction. So, for example, buying an asset that has a very particular serial number.
[Wed 11:14]	<manu-db>	manu: Website looks good, you're using both Persona and Web Keys, right?
[Wed 11:14]	<manu-db>	andreio: Yes, you sign in w/ Persona... you need to register with payswarm authority as well. When the vendor registers, they get public/private keypair.
[Wed 11:16]	<manu-db>	manu: where are you storing the private key? Is it only for the marketplace?
[Wed 11:16]	<manu-db>	andreio: Yes
[Wed 11:17]	<voip-ps>	kumar has been unmuted.
[Wed 11:17]	<manu-db>	manu: ok, good. We don't want to get into a security situation where you're managing thousands of private keys. That would be disastrous if there was ever a security break-in.
