[Wed 11:04]	<m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2013Jul/0019.html
[Wed 11:05]	<m4nu>	scribe: m4nu
[Wed 11:05]	<m4nu>	manu: Any updates or changes to the Agenda?
[Wed 11:05]	<dlongley>	m4nu: we have a new participant, David Bialer
[Wed 11:05]	<m4nu>	Topic: Introduction - David Bialer
[Wed 11:05]	<dlongley>	m4nu: can you give us a quick intro?
[Wed 11:06]	<m4nu>	bialer: Product manager for Firefox marketplace - work with Kumar and Travis. I'm very product focused. Been reading the notes of this group for a while
[Wed 11:06]	<m4nu>	bialer: My interest - Payments 2.0, looking at things that we'd like to be doing over the next year in payments.
[Wed 11:07]	<m4nu>	bialer: We're doing operator billing today, but don't think that's necessarily the way to go in the future. After doing integrations, we've noticed lots of warts/bumps. MozPay, future spec, would like to see some things that can deal with the realities of how systems work today. Especially in the international world of currency exchange and emerging markets.
[Wed 11:08]	<dlongley>	m4nu: you're in the right place, this group is all about finding solutions for those areas and writing specs for them
[Wed 11:08]	<m4nu>	kumar: To follow up, as developers we're down in the weeds more than David - he has an idea of what we're doing long-term with payments.
[Wed 11:09]	<m4nu>	Topic: GSoC Student Progress
[Wed 11:09]	<dlongley>	m4nu: next up is andrei's progress on the open marketplace he's building using payswarm
[Wed 11:10]	<m4nu>	andrei: I had issues w/ the asset hash not generating, the date format was changed when saving in the database, I've fixed that. Dave Longley helped me out w/ the payments stuff. I can now do a payment for the web app.
[Wed 11:10]	<m4nu>	manu: Very good progress, Andrei. So you have publishing an asset, publishing a listing, digitally signing both, and performing a purchase working now.
[Wed 11:11]	<m4nu>	andrei: Yes, I'm doing the purchase via a pop-up. Next, I'd like to make purchasing available via the payswarm module so that you don't have to navigate away from the website (budget-based purchases). Having issues w/ vendor and accounts that's listing the item for sale. The purchase was unsuccessful, had to switch to the pop-up mechanism.
[Wed 11:12]	-->|	dbialer_ (~chatzilla@76.14.44.157) has joined #payswarm
[Wed 11:12]	<m4nu>	manu: You're making good progress, keep up the great work. :)
[Wed 11:13]	<dlongley>	m4nu: Keep working on IRC with Dave Longley on that if you need help
[Wed 11:12]	<m4nu>	Topic: Analysis of MozPay API message format
[Wed 11:13]	<dlongley>	m4nu: i did a really quick analysis on the message format for what's in the API spec, i started looking at JWT and the whole JOSE stack of specs and decided that it's not really helpful to talk about those if we're not aligned on what we want (the types of information) in the message blob
[Wed 11:14]	<dlongley>	m4nu: in the link in IRC i compare and contrast against payswarm messages
[Wed 11:14]	<dlongley>	m4nu: soon i'll compare and contrast against between JWT and JSON-LD and talk about advantages/drawbacks for both, and we can talk about whether we should be using JWT or JSON-LD for the mozPay use cases, etc.
[Wed 11:14]	<dlongley>	m4nu: i saw kumar responded a bit and we'll go through each point
[Wed 11:14]	<kumar>	http://manu.sporny.org/2013/mozpay-analysis/
[Wed 11:15]	<dlongley>	m4nu: so we'll go through the blog post top down ... there's just a quick intro to start
[Wed 11:15]	<dlongley>	m4nu: so we've got a purchase request to buy a magical unicorn
[Wed 11:15]	<voip-ps>	Andrei Oprea (SIP/sip.freecall.com-000002ae) has left the conference.
[Wed 11:15]	<dlongley>	m4nu: scrolling down a bit to the first subheading "Unnecessarily Cryptic JSON Keys"
[Wed 11:15]	<dlongley>	Topic: Unnecessarily Cryptic JSON Keys
[Wed 11:16]	<voip-ps>	Andrei Oprea (SIP/sip.freecall.com-000002b2) has joined the conference.
[Wed 11:16]	<dlongley>	m4nu: so this first issue is about a side effect of the JOSE stack, JOSE uses 3-letter IDs for all of the things that are JOSE and JWT-specific
[Wed 11:16]	<dlongley>	m4nu: maybe kumar knows more about their decision process here, but to me it seems like a 1980's protocol design to save bits on the wire and it just makes the messages less human readable and is unnecessary
[Wed 11:17]	<dlongley>	m4nu: you end up having to read much more about things to figure out what's going on instead of getting some idea of what's going on and what keys are about ... payswarm keys tend to spell things out to avoid that problem
[Wed 11:17]	<dlongley>	m4nu: if we use JWT and JOSE we can't change this ... going with payswarm/JSON-LD would allow us to do that
[Wed 11:18]	<m4nu>	kumar: Yeah, agree with all that mostly. It makes our code/docs pretty complicated when we have to document all of these things. We did it because it was part of the spec. It would be great to have more readable identifiers. The main things that I think JWT buys us, that we need to retain, is the issued at time and expiration time to prevent against replay attacks.
[Wed 11:19]	<m4nu>	kumar: Seems like we can do that until validFrom and validUntil. Issuer is important because it's the key we validate against.
