[Thu 11:02]	<m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2013Aug/0005.html
[Thu 11:03]	<m4nu>	scribe: taaz
[Thu 11:03]	<taaz>	m4nu: Any updates or changes to the agenda?
[Thu 11:03]	<taaz>	m4nu: adding update to Inside Bitcoins conference
[Thu 11:03]	<m4nu>	Topic: Inside Bitcoins Review
[Thu 11:04]	<taaz>	m4nu: Inside Bitcoins conference was really neat. I wasn't sure what to expect, thought there might be lots of hobbyists, not many professionals, but it was quite the opposite. There were solid technology companies there. They had their head screwed on straight about regulations and technical concerns. Not what you might expect if you just get your news from the Web. 
[Thu 11:04]	<m4nu>	http://lists.w3.org/Archives/Public/public-webpayments/2013Aug/0000.html
[Thu 11:05]	<taaz>	m4nu: The talk went really well, standing room only with 300+ people. Lots of excitment about web payments. Still catching up with email. A number of people might be joining the group.
[Thu 11:05]	<taaz>	m4nu: Got some good press coverage for the work we're doing. Some more coming up in the next few weeks - IEEE Spectrum, etc.
[Thu 11:05]	<m4nu>	Topic: Update on GSoC Student Progress
[Thu 11:06]	<taaz>	andreio: Have enabled payments in the marketplace. For instance in the recipies example. Checking user preferences about budgets. Direct purchase should work.
[Thu 11:06]	<taaz>	andreio: Adding parts of a regular marketplace. Can upload files, can select previews. Still working on how to do previews for audio or video.
[Thu 11:07]	<andreio>	https://github.com/digitalbazaar/payswarm.js/issues/5
[Thu 11:07]	<taaz>	m4nu: Ok, so what you're implementing right now is in-app payments. Any other support needed?
[Thu 11:08]	<taaz>	andreio: url should take you to payment page. method not there for nonces. 
[Thu 11:09]	<taaz>	dlongley: Need to implement that hook yourself to handle nonces. It will get called for you.
[Thu 11:10]	<taaz>	m4nu: The reason we use nonces is to deal with sites without SSL certificates. You can handle low value transactions using this method.
[Thu 11:10]	<taaz>	m4nu: You can still sniff the traffic but it does let you use the system.
[Thu 11:11]	<taaz>	dlongley: Manu talking about protecting credentials like cookies.
[Thu 11:11]	<taaz>	andreio: Still a few bugs to fix but it is a functional prototype.
[Thu 11:11]	<taaz>	m4nu: Got a link?
[Thu 11:12]	<taaz>	andreio: Dealing with a hosting issue for live site, but it's on github. There's an issue needing public access to listings and assets.
[Thu 11:12]	<taaz>	m4nu: We'll set up a VM to run the demo for you.
[Thu 11:13]	<m4nu>	Topic: Continuing Analysis of MozPay API message format
[Thu 11:13]	<m4nu>	http://manu.sporny.org/2013/mozpay-analysis/
[Thu 11:13]	<taaz>	m4nu: Almost done with discussion on MozPay API. Only a few more items to go.
[Thu 11:14]	<taaz>	m4nu: Kumar, Mozilla in position of needing to adjust price points.
[Thu 11:14]	<taaz>	kumar: Currency might need to change per region and per carrier for direct payment.
[Thu 11:15]	<taaz>	tchoma: Price points might take days or weeks to change.
[Thu 11:15]	<voip-ps>	Andrei Oprea (SIP/sip.freecall.com-00000014) has left the conference.
[Thu 11:15]	<voip-ps>	Andrei Oprea (SIP/sip.freecall.com-00000018) has joined the conference.
[Thu 11:15]	<taaz>	dlongley: What's the problem with two operators using price point X?
[Thu 11:15]	<taaz>	tchoma: Like app store, there are various reasons to pick different price points.
[Thu 11:16]	<taaz>	dlongley: With payswarm you could setup multiple listings with restrictions for each region. When you select listing to buy just need to match up with your region.
[Thu 11:18]	<taaz>	kumar: The reason we have price points is to make it easier to decouple how the carriers change prices for items being purchased. From what I'm reading about PaySwarm, you digitally sign the asset, but what happens if you need to change the price?
[Thu 11:18]	<taaz>	dlongley: You can put an expiration on an asset.
[Thu 11:19]	<taaz>	kumar: An expiration might be a nice way to solve this.
