[Wed 11:05]	<m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2013Aug/0032.html
[Wed 11:06]	<m4nu>	scribe: dlongley
[Wed 11:06]	<dlongley>	m4nu: before we get started let's do some introductions
[Wed 11:07]	<m4nu>	Topic: Introductions to Adam B. Levine and Anders
[Wed 11:09]	<dlongley>	AdamBLevine: my name is Adam B Levine, my background is with bitcoin, i've been involved for ~2 years, i do a show let's talk bitcoin, i'm really interested in micropayments to figure out barrier to entry for purchases, txns, commerce of all kinds on the web, bitcoin accomplishes the goal of low overhead and it's very inclusive and it's been very difficult for me to monetize the shows i do and bitcoin has made that much easier (internationally), i'm working on project watershed right now and i'm trying to figure out if i'm putting it aside for a bit because there are some for-profit outfits trying to do the same thing now, so i'm trying to figure out how to devote my time because i don't have enough of it
[Wed 11:09]	<dlongley>	AndersR: i'm Anders Rundgren, i work on [security solutions] for about 10 years, RSA security,etc. and my interest is in payments from the authentication side, i think that payments technologies should be more close than they are today, i want to see some standards/open source used to accomplish this goal
[Wed 11:10]	<dlongley>	AndersR: i've also worked with a small PKI provider for passports and stuff like that
[Wed 11:10]	<dlongley>	m4nu: ok, sounds good, content distribution, identity, and payments go hand in hand
[Wed 11:11]	<m4nu>	Topic: Update from Andrei on PaySwarm Marketplace Demo
[Wed 11:11]	<dlongley>	m4nu: Andrei is going to give us a quick update on his progress on the payswarm marketplace stuff he's been doing
[Wed 11:11]	<dlongley>	andreio: i've successfully made in-app purchases, i've run into some issues, one would be that when making an in-app purchase i got an error saying that there was no receipt, but the purchase did go through, so i can see it as a successful purchase
[Wed 11:12]	<dlongley>	andreio: i wanted to ask how to sell something that isn't music/book/etc something like that, if it's a service, what should the user receive
[Wed 11:12]	<andreio>	 https://gist.github.com/piatra/6230793/raw/85143f38877552989bdc8ab912c74f93a1ccb5f4/error.js
[Wed 11:13]	<m4nu>	taaz: We'll need more debugging info on this.
[Wed 11:13]	<m4nu>	dlongley: let's take this offline, it may take some debugging. callbcks are only through web interface.
[Wed 11:13]	<dlongley>	m4nu: as far as marking things up for sale for services, say, a dog walking service, the asset is just a block of time for services for an hour, etc.
[Wed 11:13]	<dlongley>	m4nu: invoices will be modeled as assets as well
[Wed 11:14]	<dlongley>	m4nu: when you want to sell something, the asset always encapsulates what you're selling, it's as broad as possible, if there's something that doesn't quite fit into the asset model we should discuss it, but we tried to make it cover as much as we could (be really generic)
[Wed 11:14]	<dlongley>	andreio: if someone purchases a dog walking service what do i give them?
[Wed 11:15]	<dlongley>	m4nu: typically an invoice would be produced that described what services were used (it would be an asset) and there would line items in the asset
[Wed 11:17]	<dlongley>	m4nu: we could change things so that a service could be used instead of an asset
[Wed 11:17]	<m4nu>	dlongley: I don't think we'd necessarily want to do that - an additional type for an Asset can be a service. We're trying to find the correct vocabulary terms for what you're trying to model, to properly markup what you want.
[Wed 11:17]	<m4nu>	dlongley: Finding the right vocabulary for what you want to sell is important.
[Wed 11:18]	<m4nu>	dlongley: You may want to look online for some other vocabularies. You may add additional types to the asset that gives more information about what it is... you could have DogWalkingService in there if that's a part of a vocvabulary.
