[Wed 11:06]	<m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2013Sep/0126.html
[Wed 11:07]	<m4nu>	scribe: taaz
[Wed 11:07]	<m4nu>	Topic: Update on GSoC Student Progress
[Wed 11:07]	<m4nu>	andrei: Things that I worked on the past two weeks consisted in improvements to the login system, adding gravatar image support for users and adding multiple payees that can be added to receive payment when you create the asset (I had a question about this: I have 3 fields for this, price, currency and payswarm accout, how should this last information, the accout, be made accesible/publicly-known? Is it acceptable to presume its known such as an email address?
[Wed 11:07]	<taaz>	m4nu: Yes, financial account URLs can be publicly known just like email addresses.
[Wed 11:07]	<m4nu>	andrei: The commits will be online by the end of the week.
[Wed 11:07]	-->|	kumar__ (~kumar@c-98-220-12-84.hsd1.in.comcast.net) has joined #payswarm
[Wed 11:08]	<m4nu>	voip: connections?
[Wed 11:08]	<voip-ps>	Conference connections: Dave Lehn [SIP/6003-000000aa], Manu Sporny [SIP/6000-000000ab], Dave Longley [SIP/6002-000000ac], <unknown> (bshambaugh) [SIP/70.164.64.51-000000ad], <no name> (evan) [IAX2/diamondcard-7999]
[Wed 11:08]	<m4nu>	Topic: Updates to HTTP Signatures spec
[Wed 11:09]	<m4nu>	https://payswarm.com/specs/source/http-signatures/
[Wed 11:09]	<m4nu>	https://payswarm.com/specs/source/http-signatures-audit/
[Wed 11:09]	<taaz>	m4nu: been doing traveling, updated http signature spec in spare time
[Wed 11:09]	<taaz>	m4nu: discussing if we wanted to take http sig spec to ietf with nonces and trailers
[Wed 11:10]	<taaz>	m4nu: Want to keep the HTTP Signatures spec simple. We moved nonces and trailers into other specs:
[Wed 11:10]	<m4nu>	https://payswarm.com/specs/source/http-signature-nonces
[Wed 11:10]	<m4nu>	https://payswarm.com/specs/source/http-signature-trailers
[Wed 11:11]	<taaz>	m4nu: Greatly simplifies core spec. IETF going to wrap up work soon, wanted to get this into their work pipeline soon.
[Wed 11:11]	<taaz>	m4nu: HTTP Signatures spec needs examples updated.
[Wed 11:12]	<m4nu>	taaz: One of the examples I made in one of the implementations have the values from the spec in there. So, we should be able to generate that stuff easily.
[Wed 11:12]	<taaz>	taaz: What changed in the examples?
[Wed 11:13]	<taaz>	m4nu: Took out nonces and http trailer support. Also require request line, host, and date are now required to be signed.
