[Wed 11:00]	-!- voip-ps [~voip-ps@216.252.204.51] has joined #payswarm
[Wed 11:00]	<voip-ps>	Dave Lehn (SIP/6003-00000105) is in the conference.
[Wed 11:00]	<voip-ps>	Dave Lehn (SIP/6003-00000105) has joined the conference.
[Wed 11:00]	<voip-ps>	msporny (SIP/192.168.10.106-00000106) has joined the conference.
[Wed 11:01]	<voip-ps>	Dave Longley (SIP/6002-00000107) has joined the conference.
[Wed 11:01]	<voip-ps>	<unknown> (IAX2/diamondcard-2346) has joined the conference.
[Wed 11:02]	-!- dlongley_ is now known as dlongley
[Wed 11:03]	<dlongley>	scribe: dlongley
[Wed 11:03]	<taaz>	http://lists.w3.org/Archives/Public/public-webpayments/2013Nov/0013.html
[Wed 11:04]	<dlongley>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2013Nov/0013.html
[Wed 11:04]	<dlongley>	m4nu: i'm in HK for the last two weeks, i've been talking to a number of multinational banks and govt's and other types of folks over the past 4 weeks at the united nations igf, etc.
[Wed 11:04]	-!- joecascio [~joecascio@c-71-232-206-41.hsd1.ct.comcast.net] has joined #payswarm
[Wed 11:05]	<dlongley>	m4nu: we need to cover financial innovation forum in HK talk, and talk about the US Federal Reserve Payments Improvements paper submission
[Wed 11:06]	<dlongley>	voip-ps: 2346 is joecascio 
[Wed 11:06]	<voip-ps>	joecascio is now associated with IAX2/diamondcard-2346.
[Wed 11:06]	<dlongley>	joecascio: i read with great interest the use cases, that you put out from the working group, and it would be a great help for me at some point, maybe not during the call, to understand some more of the background and assumptions that went into the payswarm use cases document
[Wed 11:06]	<dlongley>	m4nu: yeah we can cover that at some point in the future
[Wed 11:07]	<dlongley>	m4nu: if you have any questions you can send them to the mailing list and we can get back to you asynchronously... and everyone will see them as well, these calls are better for planning and technical discussion
[Wed 11:08]	<dlongley>	m4nu: we'll be looking more into KYC and getting info like that into web payments and persona, etc. that stuff is deeply rooted in all the financial stuff we're doing, lots of banks interested in that, UN and govts and banks interested
[Wed 11:08]	<dlongley>	m4nu: banks are playing a lot of money right now for KYC clearing so they're really interested
[Wed 11:08]	<m4nu>	Topic: Finance Innovation Forum 2013
[Wed 11:08]	<taaz>	http://financeinnovation.questexevents.net/2013/hk/agenda
[Wed 11:10]	<dlongley>	m4nu: forum happened yesterday, i gave a talk on web payments and the technology we're creating here, mainly focused on getting the message out to the financial community in HK about the existence of a group composed of people from payswarm, bitcoin, and ripple communities and from w3c to get payments built into the core arch of the web
[Wed 11:10]	<dlongley>	m4nu: many people surprised this was even happening and lots of interested from major banks in the work
[Wed 11:10]	<dlongley>	m4nu: can't say which ones because they don't want to be identified yet, looking on with great interest
[Wed 11:10]	<dlongley>	m4nu: HK is rated as the #1 financial system in teh world out of 62 for ease of trade
[Wed 11:11]	<dlongley>	m4nu: HK is a huge financial center, gateway into china, africa, india, US
[Wed 11:11]	<dlongley>	m4nu: all these major banks operating out of HK because of access it gives multinational banks and financial institutions that operate out of the area
[Wed 11:11]	<dlongley>	m4nu: all the major players here, place called central that holds almost all banks in the world all right next to each other (in buildings)
[Wed 11:12]	<dlongley>	m4nu: the people here are very interested in payswarm, the web payments work because it's an area they could lead in, they could do things like internationalization of the yuan, making it a competitor to the US dollar, and leading payments on the internet, the ability to do trade of the internet, when you execute a trade between companies, not only doing the payment immediately but having a manifest and all the tax info everything included in the txn is all really interesting to the financial communnity and the govt's in the area, that do txns through HK
[Wed 11:13]	<dlongley>	m4nu: the meeting went really well, i've had meetings every single day with various groups/players around the world
[Wed 11:13]	<dlongley>	m4nu: any questions on the financial innovation forum?
[Wed 11:13]	<dlongley>	joecascio: did you get any sense of what their interest was in bitcoin and how that might change the equation because one of the things that i noticed or thought i noticed in the payswarm use cases was this sort of built in tacit presumption that there's always a third party involved in making payments
[Wed 11:14]	<dlongley>	joecascio: and in the case of bitcoin that's just not true anymore
[Wed 11:14]	<dlongley>	joecascio: did you get a sense of what their sensitivity was towards bitcoin?
[Wed 11:15]	<dlongley>	m4nu: yeah, it's interesting, we were in SIBOS (world banking conference) a month and a half ago, the talk i gave there had 130 international banking corps in the same room, and patrick was there giving a talk, bitcoin was interesting but such a small thing right now, they weren't really that interested in looking into it in an any depth; the main thought i got was if you look bitcoin's marketcap now it's the same as what these international banks makes in an hour
