[Wed 11:05:02] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Mar/0024.html
[Wed 11:05:04] <dlongley>	scribe: dlongley
[Wed 11:05:50] <m4nu>	Topic: Web Payments Mobile Use Cases
[Wed 11:06:26] <m4nu>	https://github.com/w3c-webmob/payments-use-cases
[Wed 11:07:10] <dlongley>	schuki: Hi Natasha from GSM Association, big mobile standardization organization, Brent has offered to help out on mobile payments use cases, what we're doing is taking use cases for how payments exist on native platforms, possibly in proprietary solutions on the web, and documenting how they work on mobile
[Wed 11:07:32] <voip-ps>	<unknown> (IAX2/diamondcard-6624) has joined the conference.
[Wed 11:07:48] <schuki>	https://www.w3.org/community/webpayments/wiki/WebPaymentsMobileUseCases
[Wed 11:08:00] <m4nu>	voip: 6624 is Brent
[Wed 11:08:00] <voip-ps>	Brent is now associated with IAX2/diamondcard-6624.
[Wed 11:08:13] <dlongley>	schuki: thx for putting up link to github page, there's also a wiki, the work is in two places, i'd like to move both into github, my preference
[Wed 11:08:33] <dlongley>	schuki: or continue to work on the wiki, the issue there is that the mobile access group doesn't have access to the wiki
[Wed 11:08:58] <dlongley>	m4nu: the wiki was meant to be temporary, we didn't want 20-30 PRs out there conflicting, we wanted a rapid way to dump information in there, and then organize and move back to github
[Wed 11:09:08] <dlongley>	m4nu: if you feel there's enough information there please pull it back into github
[Wed 11:09:16] <dlongley>	m4nu: there are some outstanding questinos there we'll get to later
[Wed 11:09:29] <dlongley>	m4nu: we wanted to be able to iterate on it quickly and github PR was maybe going to slow it down
[Wed 11:09:41] <dlongley>	schuki: makes perfect sense, i'll pull things into github repo
[Wed 11:10:00] <schuki>	https://github.com/w3c-webmob/payments-use-cases
[Wed 11:11:02] <dlongley>	schuki: i went through the wiki style use cases, got criticized by co-chair saying we really should document solutions that exist across native platforms, and that experience on mobile, if you scroll down to the paypal section on github, there's an example of what i'd like to produce for all of the other native applications/plugins/proprietary apps
[Wed 11:11:20] <dlongley>	schuki: i've put in regions where it operates, capabilities, APIs to develop
[Wed 11:11:55] <dlongley>	schuki: i consider API very interesting as something we could use as a standardization body to create an API later on, not wanting to get into a legal discussion now there are legal issues, just a good guideline
[Wed 11:12:19] <dlongley>	schuki: we'd like help from both this group and the rest of the mobile interest group as well, we want a robust set of use cases for payments for mobile
[Wed 11:12:26] <dlongley>	schuki: manu you mentioned questions?
