[Wed 11:04:05] <manu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Apr/0116.html
[Wed 11:04:15] <dlongley>	scribe: dlongley
[Wed 11:05:10] <dlongley>	manu: Today, we'll be trying to organize the use cases into something we can feed into the upcoming web payments interest group, then figure out how workshop input fits in, then get volunteers for use case work. The goal is a consistent, updated use cases document for the upcoming Web Payments IG work.
[Wed 11:05:26] <dlongley>	taaz: nope
[Wed 11:05:40] <manu>	Topic: Organizing In-the-Field Use Cases
[Wed 11:06:01] <manu>	https://www.w3.org/community/webpayments/wiki/WebPaymentsUseCases
[Wed 11:06:56] <dlongley>	manu: brent has done a great job getting all these use cases documented on the wiki. There's a lot of data there, brent has started summarizing some of the information there at the top, what we're trying to here is take this list and demonstrate that these are the use cases taht are already supported by many players out there and then we want to find the most common use cases in the area, then we're taking use cases from the workshop which are more forward looking future use case sthat would be part of new standards on the web
[Wed 11:07:03] <dlongley>	manu: brent can you talk about the current use cases you've documented?
[Wed 11:07:13] <dlongley>	bshambaugh: Yeah, starting at the top, just going to go over the major themes/areas.
[Wed 11:07:33] <dlongley>	bshambaugh: there's a highlights section at the beginning
[Wed 11:08:33] <dlongley>	bshambaugh: and it splits things into APIs, developers, technologies that allow for a prepaid card, cryptocurrencies, things that are based on the bitcoin technologies, some of them seem to be very similar with the functionality, there's also tech like prepaid card you may get in a store that you then can use online, 
[Wed 11:09:00] <dlongley>	bshambaugh: apps that makes your smartphone become lots of different credit cards, originally developed stripe technology for these credit cards
[Wed 11:09:37] <dlongley>	bshambaugh: Take this and put it in a phone, lots of fitting legacy technologies into more technical framework, then there are several techs that rely on card readers, they may have an API, or have a card reader you attach to your phone like square so you can accept payment like that
[Wed 11:10:42] <dlongley>	bshambaugh: then you also have things where you get some kind of number you can pay with, e-cash for example, techs that use NFC, techs that use bluetooth low energy, and using a QR-code to pay with mobiles, like starbuck's
[Wed 11:11:56] <dlongley>	bshambaugh: starbucks is kind of a leader in the mobile payments QR/bar code payments and there's certain cases where you'll be able to pay for your items before you go to the store so you don't have to wait in line, some form of cash, some techs allow you to pay within a mobile app, and then there are several techs that emulate your card. Subscription seems to be a common use case as well.
[Wed 11:12:16] <dlongley>	manu: go back to techs associated with your credit card image, how do those work?
[Wed 11:12:29] <dlongley>	bshambaugh: you may take a picture of your credit card but it's in your app so you can use it as your credit card in a way
