[Wed 11:06:28] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014May/0016.html
[Wed 11:07:56] <dlongley>	scribe: dlongley
[Wed 11:08:07] <dlongley>	m4nu: tim holborn, Pindar, and Brent will be unavailable today, so we can't do any resolutions w/o a quorum, but what we can do is talk about decentralized identity
[Wed 11:08:35] <dlongley>	m4nu: and try to get the use cases into a form that makes it easier to get through them next week
[Wed 11:08:48] <m4nu>	Topic: Decentralized Identifiers
[Wed 11:08:50] <dlongley>	m4nu: so let's talk about decentralized identifiers
[Wed 11:08:59] <m4nu>	http://manu.sporny.org/2014/credential-based-login/
[Wed 11:09:30] <m4nu>	So, using credential-based login, we can go from bob@example.com - resolve via telehash and get to - https://foobar.com/identities/bob
[Wed 11:09:32] <dlongley>	m4nu: going off of what we have for credential-based login, we had this concept that when you put in an email address, you would resolve that via telehash to some kind of identifier, like https://foobar.com/identities/bob
[Wed 11:10:03] <dlongley>	m4nu: so you could resolve an email address to a URL using telehash [w/some privacy protection implementation details in there]
[Wed 11:10:13] <m4nu>	Ideally, what we would like is to go from bob@example.com - resolve via telehash - and get id:xyz:bob.bobman
[Wed 11:10:27] <m4nu>	decentralized identifier is id:xyz:bob.bobman
[Wed 11:10:29] <dlongley>	m4nu: you could instead resolve the email address to some kind of decentralized identifier
[Wed 11:11:53] <dlongley>	Topic: Decentralized Database or Purely Protocol?
[Wed 11:11:53] <dlongley>	m4nu: there are two ways we could implement the decentralized identity part -- we could use a decentralized database, like a bitcoin/ripplename like mechanism that stores this information in a truly decentralized database, the info is replicated between nodes, etc. -- the question is how exactly that's done; the other way this could be done is a decentralized network where the peers answer the request, so "id:xyz:bob.bobman" could be stored by an identity provider and when a request is sent to the network than the IdP would respond back with the information requested
[Wed 11:12:08] <dlongley>	m4nu: one is a decentralized database, the other is a query+response protocol
[Wed 11:12:29] <dlongley>	m4nu: the latter is easier to implement because you don't have to specify the storage mechanism, just the query+response mechanism
[Wed 11:12:37] *	cagedwisdom has quit (Remote host closed the connection)
[Wed 11:12:52] <m4nu>	dlongley: I agree that it would be easier to specify the protocol and leave the storage mechanism up to the implementers.
[Wed 11:13:15] <m4nu>	dlongley: Everyone just follows the protocol, it should work out. It doesn't preclude using a decentralized database. We specify the protocol, we don't have to specify the protocol itself.
[Wed 11:14:15] <m4nu>	dlongley: We still have all these privacy concerns, any requests that are made must be aligned w/ privacy concerns.
[Wed 11:14:35] <m4nu>	dlongley: If you go w/ a decentralized database, you don't know who is responding w/ the information, you just get the information back. 
[Wed 11:14:49] <m4nu>	dlongley: Just to be clear, the information you get back from the service is encrypted?
[Wed 11:15:07] <m4nu>	m4nu: yes, we can't store passport credentials if we don't do that.
[Wed 11:15:38] <m4nu>	dlongley: So, you send the query out - get back a decrypted blob from somewhere. In the other case, can we get information out of who is responding?
[Wed 11:17:17] <dlongley>	Topic: The Decentralized Identity URL
