[Mon 11:08:39] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Jun/0000.html
[Mon 11:08:46] <dlongley>	scribe: dlongley
[Mon 11:09:35] <dlongley>	m4nu: pindar had asked to announce some IGF information
[Mon 11:09:54] <mediaprophet>	The outline (from IGF) looked very positive...
[Mon 11:10:05] <dlongley>	m4nu: any other updates?
[Mon 11:10:23] <dlongley>	dlehn: Nope
[Mon 11:10:22] <m4nu>	Topic: Parametric Selection of Payment Method
[Mon 11:10:47] <m4nu>	So we have this right now for the use case: Selection of payment method based upon desired payment speed and cost.
[Mon 11:11:55] <dlongley>	m4nu: this seems to be something that the payment processor would ... it's a fairly complex use case, we could say it's something the payment processor could handle, but that payment processor might have to know information from other payment processors, etc, to produce quotes 
[Mon 11:12:10] <m4nu>	dlongley: This sounds like a requirement, so we'd need to reword it as a use case.
[Mon 11:12:22] <mediaprophet>	Should it specifically state directionality? As in: capability at both merchant and end-user contact points??
[Mon 11:12:37] <m4nu>	dlongley: Maybe the reason it was in here was because the protocol would need to support it - this seems complex, especially for the first version of this.
[Mon 11:13:01] <mediaprophet>	Different regions might have different rates for payments.  So, cms might check where end customer is..
[Mon 11:13:32] <dlongley>	m4nu: the problem with the complexity of the use case ... is that it may require something built into the protocol and it may be difficult to add in later
[Mon 11:13:53] <m4nu>	dlongley: I'm trying to think through how this could be standardized/implemented.
[Mon 11:14:34] <m4nu>	dlongley: Further problem - how would these prices be displayed, does the merchant have any control over it?
[Mon 11:14:52] <m4nu>	dlongley: This may or may not require the merchant to know which payment provider's are available.
[Mon 11:15:07] <mediaprophet>	Perhaps the requirement is being able to identify the characteristics of a payment processor?
[Mon 11:15:11] <m4nu>	dlongley: or are we talking about merchants providing different payment options.
[Mon 11:15:45] <m4nu>	dlongley: Payment speed soundsl ike something payment processor could decide. Wouldn't your payment processor just provide with a better rate? Payment processor can process things more quickly, thus at a better rate. Seems like this is out-of-band stuff.
[Mon 11:16:20] <dlongley>	m4nu: i think the intent at the workshop was a smart wallet that could auto-negotiate on your behalf to pick the best payment processor option based on a number of different variables
[Mon 11:16:23] <mediaprophet>	Perhaps a means to dynamically signal qualities.
[Mon 11:16:42] <dlongley>	m4nu: we want your payment agent to be able to determine your fastest/cheapest payment option based on a variety of different inputs
[Mon 11:17:10] <mediaprophet>	Like petrol prices at a petrol station. Perhaps the characteristics might fluctuate, and/or if a signalling method existed, higher flexibility might encourage competition.
[Mon 11:17:10] <m4nu>	dlongley: seems to me, based on how we designed payswarm so far, right now merchants put up offers for assets that indicate what minimum costs are. 
