[Tue 21:33:47] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Jun/0170.html
[Tue 21:33:48] <dlongley>	scribe: dlongley
[Tue 21:34:50] <dlongley>	m4nu: anything else to add to the agenda?
[Tue 21:34:55] <taaz>	nope
[Tue 21:35:10] <m4nu>	Topic: Introduction to Timothy Ng from Microsoft
[Tue 21:36:22] <dlongley>	timng: my name is Tim, I work at microsoft, I am an architect on the commerce platform service at MS, we're responsible for building out all of the online and some of the offline physical store payment stuff, we serve all the MS properties today, if you go to an MS store, use xbox live, online business and sign an agreement with us, it goes through our platform, we are looking at third parties build on top of our platform in the future but we haven't put too much thought into that
[Tue 21:35:20] <pindarhk>	Nice to meet you Tim.
[Tue 21:36:37] <dlongley>	timng: i'm responsible for stuff/architecture on the payments side.
[Tue 21:37:46] <dlongley>	pindarhk: i'm a consultant/early stage investor, introduced to this work via creative commons, I'm trying to drive/promote Web Payments in the Asia/Pacific region. I'm based in Hong Kong, I advise on infrastructure. I helped pioneer the Internet/Web infrastructure here 20 years ago, worked with primarily telecoms and ISPs, I try to promote all this work, etc.
[Tue 21:38:02] <dlongley>	timng: i'm from Hong Kong we should meet up while I'm over there.
[Tue 21:38:12] <dlongley>	m4nu: it would be great for you guys to meet at some point, pindar only covered 2 percent of what he does. He's been instrumental in moving the Web Payments stuff forward.
[Tue 21:38:54] <m4nu>	dlongley: Hi, I'm Dave, I'm the CTO at Digital Bazaar - worked on JSON-LD, put a lot of design work and implementations into PaySwarm, spend most of my time implementing software, architecture, payments.
[Tue 21:40:42] <dlongley>	mediaprophet: I’m a media techologist.  Working on ‘semantic web’ systems, more focused on media distribution since about 2000.  I was involved with Hybrid TV systems (VOD, etc. ISP datacentres, etc. prior to that) a body of work that built into https://www.hbbtv.org/ (project kangaroo, Freeview, which later formed Hbb) having identified http://tools.ietf.org/html/rfc4078, getting in touch with stakeholders in 2007 after delivering the first VOD (RTSP) over DSL2 system in OZ.  After that work, i became involved in the rollout of Digital Cinema Infrastructure (DCI Approved) in Australia / NZ.  In 2010, I restarting the ‘knowledge banking’ platform project, believing the technology standards (RDF/semantic web) were reaching a level where it was possible to deliver something that isn’t propriatery system with undue lock-ins …  I’ve been working on W3 related standards, as to ensure no-golden handcuffs on the underlying data-services platform (dataspaces) since about 2000. Web-Payments capabilities are a counterpart of that work.
[Tue 21:40:42] <dlongley>	taaz: I'm Digital Bazaar's Director of Research and Testing and spend most of my time implementing and testing the Web Payments technologies we discuss on these calls and others.  I've written implementations for JSON-LD, HTTP Signatures, Web Commerce, Web Payments, Secure Messaging, Identity Credentials, and many of the other specifications we're doing active work on here.
[Tue 21:41:32] <m4nu>	Welcome to the group, Tim. :)
[Tue 21:41:32] <m4nu>	Topic: Internet Governance Forum 2014
[Tue 21:41:31] <dlongley>	m4nu: i think we're good as far as the agenda for the IGF is concerned
[Tue 21:42:22] <dlongley>	m4nu: we updated the workshop proposal for the IGF that is in turkey in a couple of months, we are getting more positive responses on attendance. Here's the updated proposal:
[Tue 21:42:40] <m4nu>	http://www.intgovforum.org/cms/wks2014/index.php/proposal/view_public/69
[Tue 21:42:41] <dlongley>	m4nu: the MAG at the IGF asked us to make a couple of clarifications on our proposal, i believe we made all of them submitted and live now
[Tue 21:43:10] <pindarhk>	Thanks for the update and dealing with this Manu, sorry for the hassles. 
[Tue 21:44:10] <dlongley>	m4nu: the additions were: we put down a rough agenda that you can see at the top of the link, intro to web identity, etc. ... then we asked some fairly straightforward policy questions, hopefully that will trigger the group work, ... for before we had the british computer society,  Electronic Frontier Foundation, w3c will most likely join us on the panel, bloomberg has said they want to participate via video, but may not be able to send someone for just one workshop, but may do a video, US fed is trying to send someone, world bank is definitely interested and trying to find someone, mozilla is MIA, ripple might send someone, i think we're good, pindar, what's the next step?
[Tue 21:44:31] <dlongley>	pindarhk: we don't need to do anything, just make sure everyone does their videos, things will be fairly loose up until the event itself, i'm expecting that they'll confirm and get publically listed
[Tue 21:44:58] <dlongley>	pindarhk: the main thing to note is that we're trying to change the format so that we can have as much product use of time in Istanbul
[Tue 21:45:01] <dlongley>	m4nu: thanks pindar, we'll start pushing attendees to submit videos next month.
[Tue 21:45:20] <m4nu>	Topic: RequestAutocomplete Use Case
[Tue 21:45:38] <m4nu>	We have this right now: Reject the form auto-fill anti-pattern (RequestAutoComplete) and move to one that doesn't result in security risks if data is stolen at the merchant.
[Tue 21:45:51] <dlongley>	m4nu: the way the RequestAutocomplete use case was described at the workshop was not a use case, it was a rejection of RequestAutocomplete or its general strategy
[Tue 21:46:12] <dlongley>	m4nu: one of the arguments against it was that it transmits secrets that we wouldn't be transmitted using a new payment mechanism
[Tue 21:46:27] <dlongley>	m4nu: sending CC to a merchant seems like a very bad security practice, the question is ... do we want to standardize bad security practices like that?
[Tue 21:46:53] <dlongley>	m4nu: previously we did discuss, in other use cases and requirements during the workshop, we want to use tokenization and we don't want to unnecessarily transmit secrets to vendors, etc.
[Tue 21:47:12] <dlongley>	m4nu: how do we reorder it so that don't reject RequestAutocomplete outright, but rather discuss it and say what we don't wnat
[Tue 21:47:30] <dlongley>	m4nu: we want these mechanisms to be secret free, if a thief steals a token we want it to do little to no damage
[Tue 21:47:35] <dlongley>	pindarhk: i'm in favor of keeping it clean
[Tue 21:47:46] <dlongley>	pindarhk: i do view it as a bridging mechanism and outside of the scope of our work
[Tue 21:48:07] <m4nu>	dlongley: I agree with Pindar, it seems like it's a bridging mechanism. This is really about filling out information automatically for people using the existing system in place.
[Tue 21:49:05] <m4nu>	dlongley: We're talking about redesigning that piece to ensure that secrets are not necessary, vendors only get what's required for payment. Information needs to be stored in a way that is automatically completed for people, but not via form auto-complete. With Identity Credentials, you can store low or high stakes credentials, and you provide that information on a need to know basis.
[Tue 21:49:29] <m4nu>	dlongley: The information will be filled in on a need to know basis. So, I don't know exactly want to say about this use case.
[Tue 21:49:57] <m4nu>	dlongley: We don't want to do what the RequestAutocomplete feature does, but we do want to provide an equivalent functionality.
[Tue 21:50:33] <dlongley>	m4nu: we probably should not say RequestAutocomplete at all because we don't need to talk about specific technologies here at all
[Tue 21:51:27] <dlongley>	m4nu: when we go one level up, we want to enable certain pieces of transaction information to be autofilled and we don't want to transmit secrets, and if any information is stolen we don't want the thief to get any sort of large advantage
[Tue 21:51:40] <dlongley>	m4nu: i believe we have these features covered
[Tue 21:51:59] <dlongley>	pindarhk: assuming breach at some point is worth reiterating
[Tue 21:52:17] <dlongley>	pindarhk: one of the problems of this phrasing is a failure of imagination, once people see the other tech what we write here will make much more sense
[Tue 21:52:42] <dlongley>	m4nu: we don't mention it specifically, we don't say "assume security breaches" we do say that any information stolen is useless to the thief
[Tue 21:52:49] <dlongley>	m4nu: should we be more specific and assume security breaches?
[Tue 21:53:18] <m4nu>	dlongley: Yes, this is a design criteria - assume security breaches.
[Tue 21:53:21] <dlongley>	m4nu: it sounds like a design criteria
[Tue 21:53:27] <dlongley>	pindarhk: that's my personal preference
[Tue 21:53:34] <dlongley>	m4nu: PCI folks may take issue with that assumption, but the status quo isn't great either. Cost of a security breach currently for a merchant that accepts credit cards is fairly high.
[Tue 21:53:48] <m4nu>	So we have this: Use Case: Transmit one or more pieces of information before a purchase occurs such that the identification of participants in a transaction can be performed.
[Tue 21:55:30] <m4nu>	dlongley: Let's not focus on auto-filling - you can transmit your shipping information w/o having to fill it out at every vendor you go to.
[Tue 21:56:57] <dlongley>	Topic: Transmission Format of Credentials
[Tue 21:56:57] <dlongley>	timng: i have a quick question, one of the implications of RequestAutocomplete, is that there's a standard representation of that piece of information, for example, on certain implementations, on safari, if the expiry date is a combo box, it doesn't quite work, if it's a plain text box it works, same with addresses, depending on the address structure on the website it doesn't always work properly, it misses the zipcode if it's not labeled property, in order for autocomplete to work there has to be a standard piece of information for your credit card or your country, if we represent it differently than a browser can't easily auto fill it in without having to make guesses
[Tue 21:57:10] *	m4nu stops scribing timng, go dlongley.
[Tue 21:57:24] <dlongley>	timng: i wonder if what's interesting is what the thing is to be sent, like a CC, it's just a feature of the browser then it becomes easy
[Tue 21:57:38] <dlongley>	m4nu: the assumption that we're making is that JSON-LD is used pretty heavily throughout many of the specs that we're talking about
[Tue 21:57:55] <dlongley>	m4nu: Google, MS, Yandex, and Yahoo now have a standard address format that seems to work worldwide (schema.org)
[Tue 21:58:00] <dlongley>	m4nu: we were going to build off of that work
[Tue 21:58:25] <dlongley>	m4nu: you're absolutely right is that we need a standard way to transmit the information, rather it's in a JSON message
[Tue 21:58:48] <dlongley>	m4nu: if a vendor needs a proof of age from your and a shipping address and they'd get two JSON objects that would be in a world-wide standard form
[Tue 21:59:24] <dlongley>	m4nu: i don't think it addresses everything, i'm not trying to paper over the way certain addresses are made in one country vs. another, but the assumption we're talking about is that at some point we'd come up with a standard for representing each one of these pieces of information
[Tue 21:59:56] <m4nu>	dlongley: It's important that we keep the abstraction clean there. We don't want to have to match up UI forms w/ how the information was entered. At the end of the day, we don't want people markup forms for getting shipping information. 
[Tue 22:00:18] <m4nu>	dlongley: You don't even have to think about what the UI looks like. Because the standard is not there, we fall back to the UI.
