[Tue 21:31:30] <voip-ps>	Manu Sporny (SIP/6000-0000014c) has joined the conference.
[Tue 21:32:59] <voip-ps>	Dave Longley (SIP/6002-0000014d) has joined the conference.
[Tue 21:33:52] <voip-ps>	dlehn (SIP/50.134.65.129:5060-0000014e) has joined the conference.
[Tue 21:35:02] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Jun/0199.html
[Tue 21:35:12] <dlongley>	scribe: dlongley
[Tue 21:35:47] <dlongley>	m4nu: any updates or changes?
[Tue 21:35:47] <taaz>	nope
[Tue 21:35:56] <m4nu>	Topic: Decentralized identity information
[Tue 21:36:11] <m4nu>	This is the use case we have right now - Use Case: Place and update identity information in a decentralized network (replace payment providers, e-mail attestation, etc.)
[Tue 21:36:35] <dlongley>	m4nu: is this more like a design criteria?
[Tue 21:36:46] *	You are now known as m4nu
[Tue 21:36:48] <dlongley>	m4nu: "do not allow a person's payment or identity information to be locked down to any particular provider"
[Tue 21:37:14] <m4nu>	dlongley: I agree - sounds like design criteria where that is the goal. Need payment / identity information to be portable.
[Tue 21:37:44] <m4nu>	So, we're doing this as a design criteria, then?
[Tue 21:37:54] <m4nu>	dlongley: Somewhere we said that you could switch payment providers easily?
[Tue 21:38:28] <m4nu>	we do have this - The customer decides to switch to a different identity/wallet/data storage provider and all of their wallet and credential data comes with them.
[Tue 21:38:39] <m4nu>	dlongley: yeah, so we have that, so this is just a general design criteria to prevent vendor lock-in.
[Tue 21:39:34] <m4nu>	So, something like this - Design Criteria: Ensure data portability via the use of, for example a decentralized network for data storage, and also prevent single point of failure by use of the same.
[Tue 21:39:42] <m4nu>	dlongley: Maybe we should say - ensure that it's a requirement.
[Tue 21:40:49] <dlongley>	m4nu: we'll need to mention a core set, because people will want to value add
[Tue 21:40:55] <m4nu>	so - Design Criteria: Require data portability for customer financial and identity data?
[Tue 21:40:58] <dlongley>	m4nu: "do i have to export all of my data or just some of it"
[Tue 21:41:27] <m4nu>	Design Criteria: Require data portability for customer financial data and identity data that is required for core transaction functionality.
[Tue 21:41:34] <m4nu>	So, that?
[Tue 21:42:11] <m4nu>	dlongley: It would be annoying for transaction/receipt data to not be portable - we should require any metadata associated with receipts to also be portable, or maybe we say "choose a payment processor that will port all of your related data"?
[Tue 21:42:38] <m4nu>	dlongley: I think that design criteria is fine, let's strike the use case and move on.
[Tue 21:44:00] <m4nu>	Topic: Premium SMS
[Tue 21:44:09] <m4nu>	So we have this Use Case now: Determine how Premium SMS (operator billing) works with a Web payments solution.
[Tue 21:44:36] <m4nu>	dlongley: We should change this into a design criteria as well - "Ensure Premium SMS is compatible/works with the Web payments olution"
[Tue 21:46:03] <m4nu>	manu: We don't call out Visa/Mastercard, so why Premium SMS? Maybe we should call all of the ones we can think of out.
