[Tue 21:36:17] <manu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Jul/0032.html
[Tue 21:36:26] <dlongley>	scribe: dlongley
[Tue 21:37:07] <dlongley>	manu describes the agenda, no changes.
[Tue 21:37:24] <dlongley>	manu: any updates or changes to the agenda?
[Tue 21:37:34] <manu>	Topic: Web Payments IG Charter (3rd revision)
[Tue 21:38:31] *	tim (62e12672@gateway/web/freenode/ip.98.225.38.114) has joined #webpayments
[Tue 21:38:35] <manu>	http://www.w3.org/2014/04/payments/webpayments_charter.html
[Tue 21:39:30] <dlongley>	manu: the charter has gone through 3 iterations, it's a very broad charter, it covers everything from creating a web payments roadmap to terminology, to wallet APIs to initiating payments, digital receipts, identity and authentication, that doesn't mean that the web payments work will include all of those things, it means that all of those things are in scope for discussion for figuring out what the official group will do
[Tue 21:40:04] <dlongley>	manu: the desire is to focus fairly narrowly, we don't want it to be a gigantic endeavor, we want to make progress on some focused specs, good bang for our buck instead of boiling the oceans (and various other idioms)
[Tue 21:40:24] <dlongley>	manu: i imagine some of the discussion in the first few months will be boiling down the set of use cases we want to address
[Tue 21:40:25] <manu>	https://www.w3.org/community/webpayments/wiki/CategorizedWebPaymentsUseCases
[Tue 21:40:56] <dlongley>	manu: speaking of use cases we've refined the ones from the web payments work shop, we've made a basic common format, removed duplicates, pushed things off to 2nd/3rd iteration of the tech to help narrow the scope down
[Tue 21:41:34] <dlongley>	manu: the link in IRC is to the clean use cases, these are only from the web payments workshop, we haven't integrated the payswarm use cases or any of the other common, deployed use cases, such as paying for something via google wallet, paypal, with your mobile phone or CC as you do today
[Tue 21:41:38] <dlongley>	manu: we will work those in there
[Tue 21:41:49] <dlongley>	manu: we want to use this as input to the web payments IG
[Tue 21:42:04] <dlongley>	manu: any questions about the IG charter?
[Tue 21:42:11] <dlongley>	none
[Tue 21:42:19] <dlongley>	manu: Tim, have you reviewed the charter?
[Tue 21:42:40] <dlongley>	timng: yes, i have read through the charter and the use case documents as well, i'm still feeling out and will ask questions after
[Tue 21:43:48] <dlongley>	manu: the main thing we're blocked on now is getting firm commitments from companies to officially join the work, we have 40 responses from 40 different orgs saying they want to be involved in the work, we have 14 firm commitments from orgs that have named engineers to include in the work, now we have to do a second pass and make sure that the orgs that are already w3c members have committed engineering resources and those that are not w3c members are either on a path to becoming so to participate or we have some kind of invited experts mechanism drawn up for them
[Tue 21:43:51] <dlongley>	manu: any other questions?
[Tue 21:43:53] <dlongley>	none
[Tue 21:44:15] <dlongley>	manu: lehn, thoughts on reading through?
[Tue 21:44:27] <dlongley>	taaz: i've read through partly i'm going to do a more thorough read through
[Tue 21:44:34] <manu>	Mailing list for comments are here: http://lists.w3.org/Archives/Public/public-webpaymentsigcharter/
[Tue 21:44:55] <manu>	Requested changes to the charter are here: https://www.w3.org/community/webpaymentsigcharter/wiki/Main_Page
[Tue 21:45:16] <dlongley>	manu: we're in good shape for the steering group to start its work, we're in fairly good shape in terms of recruiting orgs to participate in the work
[Tue 21:45:31] <manu>	Topic: Updates from Payments and Identity Meetings
[Tue 21:46:26] <dlongley>	manu: there has been pushback on the identity aspect of the web payments work, adrian, anders to a degree, and a few other folks on the mailing list have questioned whether identity should be part of the web payments initiative or if it should be split into another initiative and those multiple working groups would try and talk to one another as they progressed
