[Wed 10:07:27] <manu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Jul/0111.html
[Wed 10:07:30] <dlongley>	scribe: dlongley
[Wed 10:07:53] <voip-wp>	timng (SIP/192.168.1.60-0000001e) has joined the conference.
[Wed 10:07:59] <voip-wp>	Joseph Potvin (SIP/getonsip.com-0000001f) has joined the conference.
[Wed 10:08:02] <dlongley>	manu: any updates or changes?
[Wed 10:08:06] <dlongley>	taaz: nope
[Wed 10:08:14] <manu>	Topic: Credentials Community Group Formation
[Wed 10:08:54] <dlongley>	manu: this is something that we've been discussing with various large organizations behind the scenes for a while. At the web payments workshop, identity was a common thread for the two days, and we created a number of identity use cases at the workshop which we later refined on these calls.
[Wed 10:09:15] *	timng (ae1589c5@gateway/web/freenode/ip.174.21.137.197) has joined #webpayments
[Wed 10:09:26] <dlongley>	manu: but the discussion from march to now has been quesitoning whether or not we want to tackle the identity problem for payments. It's a much narrower problem, KYC, money laundering,etc. making sure you can crypto-verify someone sending money is who they say they are.
[Wed 10:09:49] *	jpotvin (~jpotvin@69-165-170-68.dsl.teksavvy.com) has joined #webpayments
[Wed 10:09:54] <dlongley>	manu: some saying we definitely need identity credential verification (identity attribute exchange) for a good web payments system, others saying we don't that bitcoin is good enough and we can rely on legislation and other things to shore up the rest
[Wed 10:10:06] <dlongley>	manu: we've been discussing splitting off the Identity Credentials stuff into its own CG and now have enough large corporate support to do so.
[Wed 10:10:22] <manu>	W3C Credentials Community Group Charter: https://docs.google.com/document/d/1dPzWbPF0jlox8UHnr522nBWCjLJMQ_vGbbtsA5-pAsg/edit
[Wed 10:10:39] <dlongley>	manu: that is a rough draft of the Credentials CG charter, we need input on it.
[Wed 10:10:59] <dlongley>	manu: it's focused on low and high stakes credentials, it's for storing and transmitting creds, like govt issued licenses, university degrees, etc.
[Wed 10:11:33] <dlongley>	manu: we believe we have enough momentum to launch another group and w3c management at a high level seems to be onboard with two separate initiatives understanding that the web payments work will likely need stuff from the Credentials CG
[Wed 10:11:47] <dlongley>	manu: we want to launch the CG group next week or the week after ... just to get the paperwork, etc out of the way. Then we'll use it as a rallying point for a credentialing initiative at W3C.
[Wed 10:11:53] <dlongley>	manu: and then ask orgs to join the work and make public statements of support.
[Wed 10:12:03] <voip-wp>	Joseph Potvin (SIP/getonsip.com-0000001a) has left the conference.
[Wed 10:12:24] <dlongley>	manu: the work is meant to be very narrowly scoped, we don't want to get stuck in quagmire of identity on the web, rather just work on transmitting and receiving digital crypto-verifiable creds on the web
[Wed 10:12:40] <dlongley>	manu: evgeny, Tim, it would be great to have Yandex and Microsoft look at the work to see if they want to participate
[Wed 10:12:53] <dlongley>	manu: we are reaching out to US Fed, Bloomberg, etc. to see if they want to participate
[Wed 10:13:21] <dlongley>	manu: this is basically our response to people saying the identity/cred work should be separated from the web payments work, but still making sure it supports the web payments work
[Wed 10:13:25] <dlongley>	manu: any comments around this?
[Wed 10:13:32] <dlongley>	jpotvin: sounds reasonable to me
[Wed 10:14:07] <dlongley>	manu: we're hoping to get w3c paperwork out of way and launch the CG next week, we are thinking of launching with this charter but we're still getting feedback from large orgs on it
[Wed 10:14:12] <dlongley>	manu: it specifies what's in scope and out of scope
[Wed 10:14:30] <dlongley>	manu: talking about the specs that we contribute to w3c in that group are patent/royalty unencumbered
[Wed 10:15:01] <dlongley>	manu: the charter is really just a modification of the web payments charter, which was created after several weeks of discussion, so if people are happy in web payments CG they should be happy at least with the proposed initial charter
[Wed 10:15:09] <dlongley>	manu: for the Credentials CG
[Wed 10:15:17] <manu>	Topic: Feedback on Use Cases Revisions
[Wed 10:15:23] <manu>	https://www.w3.org/community/webpayments/wiki/CategorizedWebPaymentsUseCases
[Wed 10:15:29] <dlongley>	manu: the next few calls will likely be mostly about comments on the use cases
[Wed 10:16:23] <dlongley>	manu: the use cases on that wiki page, the categorized web payments use cases came out of the web payments workshop, we tried to take every use case that was reported and refine and rework them, not remove them (minus dups), but categorize and make clear what each use case is suppsoed to do, we did that
[Wed 10:16:35] <dlongley>	manu: and sent to the mailing list, but about half of them were still confusing
[Wed 10:16:47] <dlongley>	manu: people asking what use cases are intended to solve, what they mean, terminology, etc
[Wed 10:16:57] <dlongley>	manu: i've gone through all the responses and annotated all the use cases with people's comments
[Wed 10:17:11] <dlongley>	manu: the goal of the call today is to go through those comments and modify the use cases so they make more sense
[Wed 10:18:07] <manu>	voip: connections?
[Wed 10:18:07] <voip-wp>	Conference connections: Evgeny [SIP/sip2sip.info-0000001b], Manu Sporny [SIP/6000-00000019], dlehn [SIP/50.134.65.129:5060-0000001d], Joseph Potvin [SIP/getonsip.com-0000001f], Dave Longley [SIP/6002-0000001c], timng [SIP/192.168.1.60-0000001e]
[Wed 10:18:24] <manu>	voip: 1f is joseph
[Wed 10:18:24] <voip-wp>	joseph is now associated with SIP/getonsip.com-0000001f.
[Wed 10:18:29] <manu>	voip: mute joseph
[Wed 10:18:29] <voip-wp>	joseph has been muted.
[Wed 10:18:33] <manu>	voip: unmute joseph
[Wed 10:18:33] <voip-wp>	joseph has been unmuted.
[Wed 10:19:37] <dlongley>	manu: any comments on what we're trying to achieve?
[Wed 10:19:48] <dlongley>	jpotvin: on the item that i raised earlier is that within scope here?
[Wed 10:20:18] <dlongley>	manu: yes, i added it, we should probably discuss that since we've got you on the call, we did discuss it before and the finding the discussion was that we didn't know if it was enforceable from a technical standpoint
[Wed 10:20:44] <dlongley>	manu: and since it's not enforceable, the likelihood that people use it will be low, people won't give people an option
[Wed 10:20:56] <dlongley>	jpotvin: as i said in paris, paypal is already letting people do this
[Wed 10:21:02] <dlongley>	manu: let's pick this up after the general stuff
[Wed 10:21:31] <dlongley>	manu: we do have it down, it's listed as a use case, it's now a use case, it's about 40% down the page (payees and payers negotiate)
[Wed 10:21:41] <dlongley>	manu: it's in scope to discuss, whether or not it's going to stick depends on the discussion
[Wed 10:22:19] <manu>	Topic: General Comments on Use Cases
[Wed 10:22:19] <dlongley>	voip: mute joseph
[Wed 10:22:20] <voip-wp>	joseph has been muted.
[Wed 10:22:32] *	dlongley type: voip: mute joseph
[Wed 10:22:45] *	dlongley to unmute type: voip: unmute joseph
[Wed 10:23:21] <dlongley>	manu: the general comments had to do with whether or not we're calling people customers and merchants/vendors or payers and payees
[Wed 10:23:27] <manu>	For example, Melvin Carvalho: In crypto currency payments, generally a payment is from one public key to another (ie URI to URI), and may not include either a customer or merchant.
[Wed 10:23:29] <dlongley>	manu: we were using the terms customer and merchant in the use cases
[Wed 10:23:47] <voip-wp>	joseph (SIP/getonsip.com-0000001f) has left the conference.
[Wed 10:24:01] <manu>	Adrian basically made the same point - Refer to "payers" and "payees" rather than "customers" and "merchants" unless the use case is specifically limited to these actors.
[Wed 10:24:06] <dlongley>	manu: melvin makes the point that some of these are payer to payee, no merchant, adrian has made the same point
[Wed 10:24:33] <voip-wp>	Joseph Potvin (SIP/getonsip.com-00000020) has joined the conference.
[Wed 10:24:39] <jpotvin>	voip: mute joseph
[Wed 10:24:39] <voip-wp>	SIP/getonsip.com-00000020 has been muted.
[Wed 10:24:50] <manu>	dlongley: I think that the general problem here is that the use cases weren't written out in example text enough - throwing in names and such, "this is an example of something that could be supported". We have this inbetween language that makes it sounds limited.
[Wed 10:25:07] <manu>	dlongley: If we say "payer" and "payee" we still need to elaborate on who the payer and payee is. 
[Wed 10:25:44] <manu>	dlongley: The other issue is, if we come up with those examples, it'll make it look like it's a customer/merchant relationship. So, I don't think we can just address this by changing to payer and payee.
[Wed 10:26:03] <jpotvin>	voip: unmute joseph
[Wed 10:26:03] <voip-wp>	SIP/getonsip.com-00000020 has been unmuted.
[Wed 10:26:12] <manu>	dlongley: I don't think this addresses the problem. Instead, we may need to add more use cases. If they think that somethings not supported, we need to add more use cases.
[Wed 10:27:01] <dlongley>	jpotvin: the idea of changing the language to payer/payee, is like discussions we've had in the past, this CG that communities of wider scope, this has to do with fitting neutral language, it's not about CG coming up with language, it's about adopting language that has been established
[Wed 10:27:10] <jpotvin>	voip: mute joseph
[Wed 10:27:10] <voip-wp>	SIP/getonsip.com-00000020 has been muted.
[Wed 10:28:30] <jpotvin>	voip: unmute joseph
[Wed 10:28:30] <voip-wp>	SIP/getonsip.com-00000020 has been unmuted.
[Wed 10:28:35] <manu>	dlongley: I'm not going to dispute that it's better. The context where it's used is going to be confused. We're going to use people's names or company names. Because we're drilling down to an exact situation, they're losing the general scope of where it's used.
[Wed 10:29:28] <manu>	dlongley: If we use "Jill is paying on Megacorps website", they'll lose sight of the same technology being used for both situations. Changing "customer" to "payer" and "merchant" to payee, is an improvement, but it doesn't solve the confusion.
[Wed 10:29:56] <voip-wp>	Joseph Potvin (SIP/getonsip.com-00000021) has joined the conference.
[Wed 10:30:16] <dlongley>	timng: i think we generally agree, payer/payee are roles when we discuss this at MS, for example, if you look at one of the roles, if you look at the use cases, Jack may be the payer, identifying roles is important, and maybe even Jack is the customer and his mom is the payee
[Wed 10:31:01] <manu>	dlongley: That might be useful once we describe the situation in personalized situations to have the roles that people play. That's where this language could be useful. That's where I think this language should be. We should use 'payer' and 'payee' as definitive roles.
[Wed 10:31:06] <dlongley>	evgeny: it's not necessary the customer is the payer and merchant is payee. In some cases, like 3rd party escrow, there are different roles. 
[Wed 10:31:41] <dlongley>	manu: so evgeny, do you agree with the role-based assignment, so we use an example name Jack/Jill and then specify the roles they play in these payment scenarios?
[Wed 10:31:49] <dlongley>	manu: does that seem like an incremental step in the right direction?
[Wed 10:32:05] <voip-wp>	Joseph Potvin (SIP/getonsip.com-00000022) has joined the conference.
[Wed 10:32:06] <dlongley>	evgeny: my idea is that we have to differentiate between payer and payee and it's different for customer/merchant, so yes, we need to assign roles.
[Wed 10:32:09] <jpotvin>	voip: mute joseph
[Wed 10:32:09] <voip-wp>	SIP/getonsip.com-00000022 has been muted.
[Wed 10:32:40] <dlongley>	manu: i'm hearing 4 roles: customer, merchant, payer, payee and they aren't necessarily the same thing
[Wed 10:32:43] <dlongley>	evgeny: yes
[Wed 10:32:51] <jpotvin>	voip: unmute joseph
[Wed 10:32:52] <voip-wp>	SIP/getonsip.com-00000022 has been unmuted.
[Wed 10:32:55] <dlongley>	manu: let's try to apply all these roles in the use cases
[Wed 10:33:08] <dlongley>	jpotvin: to be clear, is a customer not a type of payer?
[Wed 10:33:23] <dlongley>	evgeny: customer can be either payer or payee
[Wed 10:33:41] <dlongley>	jpotvin: it's not that there are 4 roles, there are subset
[Wed 10:33:50] <jpotvin>	voip: mute joseph
[Wed 10:33:50] <voip-wp>	SIP/getonsip.com-00000022 has been muted.
[Wed 10:34:08] <voip-wp>	Joseph Potvin (SIP/getonsip.com-00000020) has left the conference.
[Wed 10:34:13] <dlongley>	timng: i think from "buyer" may be better than customer
[Wed 10:34:23] <jpotvin>	voip: unmute joseph
[Wed 10:34:26] <dlongley>	timng: for example, when i was young i was the buyer but i wasn't the payer
[Wed 10:34:44] <dlongley>	timng: buyer may be more appropriate from customer. Customer can be confusing.
[Wed 10:34:48] <voip-wp>	Joseph Potvin (SIP/getonsip.com-00000021) has left the conference.
[Wed 10:35:34] <manu>	dlongley: This might be a level of abstraction that's out of scope. We're trying to make these use cases personalized, so we could have an example where a younger person is making a purchase, the payer is the parent. But, this is probably out of scope for the technology. It's something that happens, but it's not necessarily something that we need to be involved with.
[Wed 10:35:51] <jpotvin>	voip: unmute joseph
[Wed 10:35:53] <manu>	dlongley: This might just be a discussion that we can have - a side note, people can implement systems to allow minors to pay for things.
[Wed 10:36:00] <manu>	voip: connections?
[Wed 10:36:00] <voip-wp>	Conference connections: Evgeny [SIP/sip2sip.info-0000001b], Manu Sporny [SIP/6000-00000019], dlehn [SIP/50.134.65.129:5060-0000001d], Dave Longley [SIP/6002-0000001c], Joseph Potvin [SIP/getonsip.com-00000022], timng [SIP/192.168.1.60-0000001e]
[Wed 10:37:02] <dlongley>	manu: i think joseph's point was that there's a hierarchical relationship with the roles, evgeny doesn't seem convinced, timng is saying it's better to take a role-based approach, no hierarchy to start but one might show up as we go
[Wed 10:38:06] <dlongley>	timng: i think "customer" is ambiguous, i think defining the roles should be clear, a payer is the source of money, the payee is a receiver, in more complex use cases there may be multiple parties involved in the transaction, so sorting those out will be helpful
[Wed 10:38:33] <dlongley>	manu: i think we should definitely have payer/payee roles in there, we should go role based in this and define what each of these roles does
[Wed 10:39:06] <manu>	dlongley: We can have some of the players in the use cases be in multiple roles... that might automatically resolve the hierarchy issue that Joseph raised.
[Wed 10:39:21] <jpotvin>	agreed
[Wed 10:39:24] <manu>	dlongley: Ok, we'll have roles, some people in multiple roles.
[Wed 10:39:24] <dlongley>	timng: i agree
[Wed 10:41:05] <manu>	dlongley: for each use case, we may want to say something about design requirements needed for use cases to work. If they have this ability in the technology, it would also apply to some sort of Bitcoin situation. So personalized use case, roles required, design requirements in order to make it possible.
[Wed 10:41:47] <manu>	https://www.w3.org/community/webpayments/wiki/CategorizedWebPaymentsUseCases#Introduction
[Wed 10:42:06] <dlongley>	manu: i've written a proposal, the link is in IRC
