[Wed 10:04:42] <manu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Aug/0030.html
[Wed 10:04:52] <dlongley>	scribe: dlongley
[Wed 10:05:16] <voip-wp>	Dave Lehn (SIP/6003-00000033) has joined the conference.
[Wed 10:05:28] <dlongley>	manu: last week we covered general comments, not a lot of response to it, so we may be good as far as that's concerned
[Wed 10:05:43] <voip-wp>	Evgeny (SIP/sip2sip.info-00000034) has joined the conference.
[Wed 10:05:57] <dlongley>	manu: we need to add the credential CG launch to the agenda, we're going to try to do that today, get all the paperwork for that worked out and get that launched today
[Wed 10:06:00] <dlongley>	manu: any changes to the agenda?
[Wed 10:06:06] <dlongley>	taaz: none
[Wed 10:06:25] <manu>	Topic: Formation of Credentials Community Group
[Wed 10:06:47] <manu>	The charter for the group is here: https://docs.google.com/document/d/1dPzWbPF0jlox8UHnr522nBWCjLJMQ_vGbbtsA5-pAsg/edit
[Wed 10:08:09] <dlongley>	manu: we have had feedback from orgs that aren't part of web payments but are part of the education community, the charter has been approved by other orgs that plan on joining, the order of operations will be to create the CG today after making some last few modifications to the charter, we'll send out a call for participation, then we're going to be asking for launch partners through the rest of the month, we're going to gather all the large companies that want to be part of the announcement of the group to the press; the group is for the standardization of credentials for use in payments, education/learning, and background checks.
[Wed 10:08:45] <manu>	Aug 7th-9th: W3C Credentials CG is created at W3C (paperwork complete)
[Wed 10:09:30] <manu>	Aug 10th-30th: Revise charter, determine telecon times, have at least 1 call, gather "launch partners" for formal public announcement at the end of August, vote on charter
[Wed 10:10:10] <manu>	Aug 19th: Presentation of Credentials CG initiative at SemTech 2014, ask of audience is: join the work, meet at Credentials CG
[Wed 10:10:27] <manu>	https://web-payments.org/slides/2014/semtech/
[Wed 10:10:38] <manu>	http://semtechbizsj2014.semanticweb.com/sessionPop.cfm?confid=82&proposalid=6674
[Wed 10:11:03] <manu>	Sep 2-5th: United Nations - Internet Governance Forum - The Payment, Privacy, Policing Paradox Workshop
[Wed 10:11:10] <manu>	http://igf2014.sched.org/event/781846f97d253b11129ee88f4dd176ff
[Wed 10:11:24] *	Evgeny_ (4d4b9940@gateway/web/freenode/ip.77.75.153.64) has joined #webpayments
[Wed 10:11:41] <manu>	Gather regulatory, policy, and legal concerns, recruit the necessary governments and law makers to provide input on the privacy / law issues
[Wed 10:12:13] <manu>	Sept 15-Oct 25th: Weekly Credentials CG telecons, picking WG chairs, discuss use cases and requirements, determine when technical specs will be ready to go standards-track at W3C
[Wed 10:12:39] <manu>	Oct 27th-31st: W3C Technical Plenary - 1st Web Payments Face-to-Face (credentials are an element), 1st Credentials CG Face-to-Face (unconference session)
[Wed 10:12:45] <manu>	http://www.w3.org/2014/11/TPAC/
[Wed 10:13:03] <dlongley>	manu: any questions on the credentials schedule?
[Wed 10:13:08] <dlongley>	No questions raised.
[Wed 10:13:17] <manu>	Topic: Identity Use Cases Revisions
[Wed 10:13:31] <manu>	Identity use cases: https://www.w3.org/community/webpayments/wiki/UseCases#Identity
[Wed 10:13:52] <manu>	So, we're starting with this use case: Store basic credentials and payment provider information on the Web in a way that is easy to share with various payees/merchants given authorization by the owner (payee) of the credential, and that is easy to synchronize between devices.
[Wed 10:14:07] <manu>	input from Steven Rowat: I think we need to have more discussion about identity's implications before deciding whether to attempt to do it together with web payments.
[Wed 10:14:33] <manu>	input from Adrian: Not required for first iteration. It is not ESSENTIAL for the payer to exchange identity credentials to complete a basic transaction. Think this should be the focus of 2nd iteration.
[Wed 10:15:21] <dlongley>	manu: with the credential CG happening, i think what we're doing is offloading all of this identity discussion to that CG, if there's concern in the web payments CG for identity derailing us, the credential CG will pick up the use cases
[Wed 10:16:15] <manu>	dlongley: I think what's most important in the web payments work is that there is some way to link to an identity via a URL. We should consider whether the Credential CG, having that link should be enough for what we want to do w/ Web Payments. If all we need to do in Web Payments is ensure that the URL is available, then all the details can be worked out by the Credentials CG.
[Wed 10:16:40] <manu>	dlongley: The goal is to decouple as much as possible, but still cover all the use cases we wanted to. We can consider this a first iteration where we want to concern ourselves with those pieces.
[Wed 10:17:22] <dlongley>	manu: if we take this path and if for whatever reason the credentials CG fails, we could use OpenID connect to establish the URL, but we wouldn't get anonymity, privacy, etc. and of those things
[Wed 10:17:27] <dlongley>	manu: but at least we could do something
[Wed 10:19:14] <dlongley>	manu: so i think that addresses steven and adrian's comments, re: steven, it's the other group's decision to figure things out, and re: adrian, we aren't handling the identity stuff for iteration one
[Wed 10:19:31] <manu>	Topic: Credential Transmission
[Wed 10:19:31] <manu>	Ok, on to the next use case - Use Case: Steve (buyer) visits a website (merchant) and authorizes the transmission of one or more credentials (such as proof-of-age, shipping address, etc.) previously stored with a credential storage service to the website to enable access or fulfillment of a transaction.
[Wed 10:19:58] <manu>	feedback from Adrian: Not required for first iteration. It is not ESSENTIAL for the payer to exchange identity credentials to complete a basic transaction. Think this should be the focus of 2nd iteration.
[Wed 10:20:42] <manu>	So, resolution for both is: A Credentials CG is being created to handle all identity requirements for Web Payments (and other market verticals). The Web Payments CG will proceed assuming that there will be a mechanism to establish an identity URL for participants in a transaction.
[Wed 10:21:18] <manu>	next use case is: Using metadata that is the result of a transaction, discover attributes associated with the participants (payer, payee, buyer, merchant) in the transaction.
[Wed 10:21:37] <manu>	response from Steven Rowat: wouldn't someone in the NSA be doing exactly this? Or Google, to get data to drive advertising revenue? Isn't there a good case that this is unconstitutional in the US?   I don't think this is what you mean...but what do you mean? Who needs to discover attributes associated with the identity of the participants? Why not just ask the participants? 
[Wed 10:22:11] <dlongley>	manu: steven's questions all surround who has the rights to the data
[Wed 10:22:34] <dlongley>	manu: his concerns would be that someone could get meta data from the receipt, but that's not what we want it's up to the owner of the identity to release the data
[Wed 10:23:14] <manu>	dlongley: There was a lot of misunderstanding over this use case. This isn't meant to wipe out all other use cases about privacy. This was about the participants being able to access other participants data WITH THE STRICT APPROVAL of the requestee.
[Wed 10:23:36] <manu>	dlongley: If you want to provide the information, there is a mechanism to do so. We should reword it. "Should the participants agree..."
[Wed 10:23:45] <manu>	dlongley: I think that resolves all of Steven's questions.
[Wed 10:25:23] <dlongley>	dlongley: what about: Given permission from participants in a transaction, metadata can be obtained to discover attributes associated with those participants (payer, payee, buyer, merchant).
[Wed 10:26:36] <manu>	dlongley: We may want to talk about real-time authorization and interactive authorization. Preauthorization via some sort of digital signature, or interactive authorization.
[Wed 10:27:14] <manu>	Given permission from participants (payer, payee, buyer, merchant) in a transaction, use transaction metadata to discover additional attributes (name, address, preferred financial account) associated with the participants in the transaction in real-time or via an interactive mechanism.
[Wed 10:28:22] <dlongley>	manu: the gist of the use case is that "you have just completed a transaction with these people and you may want to find out more information about them post-transaction"
[Wed 10:29:19] <dlongley>	dlongley: Given the permission of the participants of a transaction, its metadata can be used to discover additional attributes associated with those participants.
