[Wed 10:04:57] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Aug/0066.html
[Wed 10:04:59] <dlongley>	scribe: dlongley
[Wed 10:05:32] <dlongley>	m4nu: any updates/changes to the Agenda?
[Wed 10:05:35] <dlongley>	pindar: nope
[Wed 10:05:35] <dlongley>	taaz: Nothing from me.
[Wed 10:05:58] <dlongley>	m4nu: if we could get an update later from Tim Holborn on his experience at the Australian IGF, that would be good. We should also discuss the first Credentials CG call.
[Wed 10:06:03] <m4nu>	Topic: IGF 2014 - The Payments, Policing, Privacy Paradox Workshop
[Wed 10:06:23] <dlongley>	m4nu: Pindar sent a link to the mailing list about IGF
[Wed 10:06:27] <m4nu>	http://igf2014.sched.org/event/781846f97d253b11129ee88f4dd176ff?iframe=no&w=i:100;&sidebar=yes&bg=no#.U_3l3lTHkgk
[Wed 10:06:40] <dlongley>	m4nu: there is a youtube channel with a playlist on people that have submitted videos
[Wed 10:06:38] <m4nu>	https://www.youtube.com/playlist?list=PLmwV_GNAvYmA4Qtssit6_U5AgLGYodxtI
[Wed 10:07:02] <dlongley>	m4nu: we have videos from Louise Bennett from BCS, Jeremy Malcolm from EFF, Mary Bold from Accreditrust, and an intro video I did
[Wed 10:09:24] <dlongley>	pindar: i had a video done last week, unfortunately the wrong format, having that reviewed, my goal is to get the most out of the audience, i'll be the moderator so will be focused on keeping the discussion going. I'm a little concerned about finding another moderator for the online portion. I just wanted to make sure that/point out on the this call we are separating the tech and policy issues. We're trying to get a much wider sense of what some of the inputs should be to the technology side of things. The IGF is actually the interplay between the two (tech + policy). Tuesday, I drafted an online survey which I will submit for review,  after the 1.5 hour session those who want to continue the discussion. I'd also like to collect some statistics, using the survey on the use cases themselves.
[Wed 10:10:00] <dlongley>	m4nu: There's an agenda there on the schedule, first an intro to web identity by panelists, then review some use cases we have, that's group discussion for 30 minutes, then privacy, regulatory concerns 30 minute discussion, then gov't input for around 15 minutes.
[Wed 10:10:07] <dlongley>	m4nu: that the same agenda you're looking for?
[Wed 10:10:23] <dlongley>	pindar: yes, changing that would be problematic, but i'm open to seeing the responses from the room
[Wed 10:11:54] <dlongley>	pindar: It's group work, it's not a panel presentation. We'll benefit from getting a meeting of the minds. We want to get the best input from the experience in the room. We can then highlight some of the issues by going through the use cases, that might help ground the discussion.
[Wed 10:12:41] <dlongley>	m4nu: my concern is what happens if we have deadspace between discussions or if people are being shy hopefully we can help prime the discussion, i don't know if this is really a problem at the IGF, the sessions i went to last year had no shortage of people speaking, maybe my concern is misplaced, maybe we don't need as much prep, maybe we don't need a long list of questions to ask the audience.
[Wed 10:13:01] <dlongley>	pindar: my role as moderator is to keep the discussion going.
[Wed 10:14:27] <dlongley>	pindar: sorting through people's opinions, that will be difficult. G getting a sense of the room and the relevant topics, anonymity, high-value payments and identity, etc. What i am concerned about is getting the right mix of people in the room and that can only be done on the ground in Istanbul. I know for, example Mark Nottingham will be there. The IGF experience is that we'll have the right people there at the conference. I'm not concerned with dead time, but my role as moderator is to fill that with questions
[Wed 10:14:41] <dlongley>	pindar: you shouldn't have to worry too much with your prep and just share your experience
[Wed 10:14:51] <dlongley>	pindar: some of the stuff you wrote in the last 24 hours in the credentials CG, for example, is really good
[Wed 10:15:11] <dlongley>	pindar: i do have one slide that is exhaustive that is my own view, where people can jump off and i'm hoping we can include the questionnaire in that.
[Wed 10:15:20] <dlongley>	pindar: getting people to participate with the survey will be hard, but let's just keep it loose don't stress too much.
[Wed 10:15:36] <dlongley>	m4nu: any other comments or questions about next week's IGF?
[Wed 10:16:40] <dlongley>	mediaprophet: at the last years IGF there was a question about copyright around media companies, like the MPAA. There was talk of privacy, and how the internet would be regulated. I got the feeling that there's pressure coming from the MPAA and there aren't broadly aware of linked data and privacy topics and what sort of opportunity there is to create solutions.
[Wed 10:16:58] <dlongley>	m4nu: a quick follow up on that, someone from the RIAA (David Hughes, VP of Technology, RIAA) will be there at the workshop next week, so we should make sure to engage them as much as possible.
[Wed 10:17:18] <dlongley>	m4nu: he's heavily involved in this space... it will be good to have that from the copyright policy side of things.
[Wed 10:18:07] <dlongley>	mediaprophet: it's a problem for every internet user, they may think of themselves of an individual beyond the needs of an organization, in the knowledge economy all entities have value. The the lack of understanding of linked data at AuIGF was pretty enormous.
[Wed 10:18:32] <dlongley>	m4nu: outside of the semantic web community many people don't know or understand how Linked Data works, there's quite a bit of education and outreach we have to do in this area.
[Wed 10:18:34] <m4nu>	Topic: Australian Internet Governance Forum
[Wed 10:08:28] <mediaprophet>	auIGF in australia went very well.  http://www.igf.org.au/venue-schedule I spoke / participated on the “Is the digital age facilitating global citizenship?” panel, and received remarkable feedback.
[Wed 10:09:14] <mediaprophet>	my main points that i brought forward, related to the concept of ‘what is the web you want’ (following from the Web We Want momentum, campaign, etc.)
[Wed 10:20:55] <dlongley>	mediaprophet: I arranged different questions relating to the use of W3C standards, getting across this notion of the Web we Want, which surfaces the rationale of why Web 3 is important. It provides opportunities for traditional systems Web 2 did not. Today, I was asked to state in one of the forums there were a range of people involved in UN activities, and one of the ideas that was floated was the idea of an international Web parliament. Some of the greatest minds at AuIGF were not very technical. A lot of people thinking about it from Web 2 point of view not Web 3. What opportunities exist when you don't need central silos anymore. These are the opportunities that web payments provide.
[Wed 10:21:47] <dlongley>	m4nu: i think that at least reflects our experience with the IGF meeting last year, there's a pretty big divide between the technical understanding and the policy discussion, but that's exactly why we're going to the IGF to bridge that gap of what types of policies we should be aware of
[Wed 10:21:55] <dlongley>	m4nu: thanks tim, you have some follow up to do?
[Wed 10:22:19] <dlongley>	mediaprophet: an enormous amount of follow up and looking forward to working with all of you on it. I was happy to see much more Australian participation, it was a great day.
[Wed 10:22:35] <dlongley>	m4nu: Thanks Tim, if there is nothing else on AuIGF then we'll continue with the agenda
[Wed 10:22:51] <m4nu>	Topic: Credentials CG
[Wed 10:24:22] <m4nu>	http://lists.w3.org/Archives/Public/public-credentials/2014Aug/0011.html
[Wed 10:24:27] <dlongley>	m4nu: we had a very good turn out for the first meeting, we had ETS (Educational Testing Systems) who proctor 5 million students through SAT, etc. college type tests, we had OpenBadge Alliance a Mozilla spinoff for badges of achievement, etc., we had the former Chief Information Officer for the state of Iowa, he's very well known in gov't. We had a number of consultants from private sector, we had Bailey from the web payments community to write about tech/edit specs, etc.
