[Wed 10:04:50] <manu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Sep/0067.html
[Wed 10:04:55] <dlongley>	scribe: dlongley
[Wed 10:05:28] <dlongley>	manu: any updates to the agenda?
[Wed 10:05:30] <dlongley>	taaz: none
[Wed 10:05:32] *	dlongley sure
[Wed 10:05:39] <manu>	Topic: W3C TPAC Web Payments / Credentials Agenda
[Wed 10:05:47] <manu>	http://www.w3.org/2014/11/TPAC/
[Wed 10:05:55] <voip-wp>	Dave Lehn (SIP/6003-0000004b) has joined the conference.
[Wed 10:05:56] <manu>	This is in Santa Clara, California,  27-31 October 2014
[Wed 10:06:13] <dlongley>	manu: the Web Payments and Credentials meetings will be on Monday and Tuesday, 27-28
[Wed 10:06:26] <dlongley>	manu: Anyone from the those communities should come on those days.
[Wed 10:06:40] <dlongley>	manu: There's also some time in the middle of the day for adhoc meetings.
[Wed 10:07:20] <dlongley>	manu: The charter is being reviewed for the IG and once the vote is complete they'll be able to say who they've picked as chairs and talk about all that in a face to face meeting at TPAC.
[Wed 10:08:07] <dlongley>	manu: If any person or organization wants to attend those meetings and is not a W3C member, they should contact me (Manu Sporny) so I can make sure you're on the list and can get into the room, if you want to bypass me talk to Stephane Boyera or Karen Myers at W3C.
[Wed 10:08:30] <dlongley>	manu: At the very worst at the end of this week, I'm going to write a blog post and circulate it widely in various communities to ensure people know this is happening.
[Wed 10:09:06] <dlongley>	manu: W3C has another group that's tentatively on the schedule and I'll ask for the same treatment, they really should have had this on the agenda but they don't have it on there since it bothers some orgs if it wasn't passed by the advisor community
[Wed 10:09:30] *	dlongley sure
[Wed 10:09:54] *	pindarhk (7430455a@gateway/web/freenode/ip.116.48.69.90) has joined #webpayments
[Wed 10:10:26] <pindarhk>	Agree tha we should come out a draft agenda that can be discussed and ratified
[Wed 10:10:46] <dlongley>	manu: The agenda has not been set yet, so we really should come up with a draft agenda because whoever is going to be chairing the work at W3C TPAC is probably not as up-to-date as we are as to what is going on. We should say "Let's look at the refined use cases, pull in updates from credentials work, etc."
[Wed 10:11:03] <dlongley>	manu: We need to come up with an agenda and then propose it to those chairs who I imagine will be fairly open to it because it's less work they have to do.
[Wed 10:11:10] <pindarhk>	Nope
[Wed 10:11:12] <dlongley>	manu: Any questions about how to participate or the agenda?
[Wed 10:11:24] <dlongley>	manu: Pindar, will you be able to attend?
[Wed 10:11:57] <dlongley>	pindarhk: I've got Science and Technology Society, meetings in South Korea, etc. so it's unlikely that I'll be able to attend.
[Wed 10:12:03] <pindarhk>	Sorry I've an OCED meeting in Tokyo, STS in Kyoto and WKF in Seoul that month
[Wed 10:11:55] <manu>	Topic: Payment Initiation / Wallet Use Case Revisions
[Wed 10:12:16] <manu>	https://www.w3.org/community/webpayments/wiki/UseCases#Initiating_Payments_.2F_Wallet_APIs
[Wed 10:12:30] <dlongley>	manu: I think the last time we were on..
[Wed 10:12:39] <manu>	this one - Use Case: A buyer uses a native non-browser application on their mobile phone or tablet, or a web browser to make a purchase at an app store.
[Wed 10:12:48] <dlongley>	manu: We basically agreed with Jorge on his feedback.
[Wed 10:13:02] <manu>	Topic: In-app Purchases
[Wed 10:13:09] <manu>	This one is next - Use Case: A buyer makes a purchase from within an application for premium content, virtual goods, or subscriptions.
[Wed 10:13:21] <manu>	Jorge's feedback: However, without embedding wallets, but by obtaining delegated access through OAuth tokens.
[Wed 10:13:58] <dlongley>	manu: I believe that the current mechanism doesn't require an OAuth token, you're assigned a budget, which could be viewed as OAuth-token-like mechanism, but we didn't have a use/need for OAuth in the entire stack we put together.
[Wed 10:14:24] <dlongley>	manu: In general we agreed with Jorge's feedback, but we don't think that the technology that should be used in the use case. So we agree with him but we don't think we should put a specific technology into the use case.
[Wed 10:14:46] <pindarhk>	Nope
[Wed 10:14:50] <dlongley>	manu: It's still a point to discuss later, whether we should use what we have already designed or start using OAuth.
[Wed 10:15:00] <voip-wp>	Evgeny (SIP/sip2sip.info-0000004c) has joined the conference.
[Wed 10:15:33] <dlongley>	dlongley: Yeah, that's fine.
[Wed 10:15:33] <pindarhk>	Agreed
[Wed 10:16:14] <voip-wp>	Pindar Wong (SIP/getonsip.com-00000048) has left the conference.
