[Wed 10:05:36] <manu`>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Sep/0121.html
[Wed 10:05:37] <dlongley>	scribe: dlongley
[Wed 10:05:42] <voip-wp>	Evgeny (SIP/sip2sip.info-00000082) has joined the conference.
[Wed 10:06:15] <dlongley>	manu`: We're doing a use case super-session today to get all of these use cases into a position where the Web Payments CG can vote on whether or not we want to use them, etc.
[Wed 10:06:23] *	Jonny_ (4d4b9801@gateway/web/freenode/ip.77.75.152.1) has joined #webpayments
[Wed 10:06:31] <dlongley>	manu`: Then we can take them to the Web Payments IG as input to help speed things along.
[Wed 10:06:57] <dlongley>	manu`: There are seven use cases left and hopefully we can get it done in 1.5 hours.
[Wed 10:07:07] <dlongley>	manu`: We'll put them into a document that can be voted on by the community after that.
[Wed 10:07:15] <dlongley>	pindar: all clear.
[Wed 10:07:15] <dlongley>	taaz: sounds good.
[Wed 10:07:20] <manu`>	voip: connection?
[Wed 10:07:24] <manu`>	voip: connections?
[Wed 10:07:24] <voip-wp>	Conference connections: Manu Sporny [SIP/6000-0000007f], Evgeny [SIP/sip2sip.info-00000082], Pindar Wong [SIP/getonsip.com-00000081], Pindar Wong [SIP/getonsip.com-0000007e], Dave Longley [SIP/6002-00000080]
[Wed 10:07:33] <manu`>	voip: disconnect 81
[Wed 10:07:34] <voip-wp>	Pindar Wong (SIP/getonsip.com-00000081) has left the conference.
[Wed 10:07:36] <manu`>	voip: connections?
[Wed 10:07:36] <voip-wp>	Conference connections: Manu Sporny [SIP/6000-0000007f], Evgeny [SIP/sip2sip.info-00000082], Pindar Wong [SIP/getonsip.com-0000007e], Dave Longley [SIP/6002-00000080]
[Wed 10:07:57] <manu`>	voip: disconnect 7e
[Wed 10:07:57] <voip-wp>	Pindar Wong (SIP/getonsip.com-0000007e) has left the conference.
[Wed 10:07:59] <manu`>	voip: connections?
[Wed 10:08:00] <voip-wp>	Conference connections: Manu Sporny [SIP/6000-0000007f], Evgeny [SIP/sip2sip.info-00000082], Dave Longley [SIP/6002-00000080]
[Wed 10:08:55] *	pindarhk (743044ba@gateway/web/freenode/ip.116.48.68.186) has joined #webpayments
[Wed 10:14:25] <manu`>	Topic: W3C TPAC and Web Payments announcement
[Wed 10:14:15] <pindarhk>	Sorry I won't be able to make this meeting if it proceeds at such short notice
[Wed 10:14:22] <dlongley>	manu`: I've got some good news from W3C TPAC -- an announcement.
[Wed 10:15:00] <dlongley>	manu`: The TPAC registration form now includes the Web Payments work
