[Wed 10:05:30] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Sep/0160.html
[Wed 10:05:34] <dlongley>	scribe: dlongley
[Wed 10:06:01] *	adrianhopebailie (29a15e02@gateway/web/freenode/ip.41.161.94.2) has joined #webpayments
[Wed 10:06:11] <dlongley>	m4nu: Call should be short today; we basically want to propose an agenda for W3C TPAC.
[Wed 10:06:15] <m4nu>	Topic: Status of Web Payments Use Cases Vote
[Wed 10:06:21] <m4nu>	http://lists.w3.org/Archives/Public/public-webpayments/2014Sep/0155.html
[Wed 10:07:29] <dlongley>	m4nu: The call for votes went out last Friday, we have six people voting so far, so six different organizations. We should send out a reminder this week to make sure everyone tries to vote. So it closes Oct 10th, which is the same day the Web Payments Activity vote closes. We're a couple of days into the vote, we've gotten really good feedback so far. Adrian, your feedback was really good.
[Wed 10:07:42] <dlongley>	m4nu: We'll may wait until after the vote to post all the feedback together.
[Wed 10:07:51] <dlongley>	m4nu: Any questions or concerns about the votes or use cases so far?
[Wed 10:07:55] <dlongley>	none
[Wed 10:08:38] <dlongley>	m4nu: We'll send out a reminder email to everyone in the group as well as letting every other org we've been in contact with (250+) to let them know what's going on with the two votes (Activity Charter and CG)
[Wed 10:08:49] <dlongley>	m4nu: It seems some orgs are completely unaware the vote is happening or they've missed it.
[Wed 10:09:09] <m4nu>	Topic: Agenda Bashing for W3C TPAC
[Wed 10:09:38] <dlongley>	m4nu: We have eight hours of meeting time split over two days, two hours in the morning and two in the afternoon...
[Wed 10:09:41] <m4nu>	http://www.w3.org/2014/11/TPAC/
[Wed 10:10:08] <m4nu>	https://www.w3.org/wiki/TPAC2014/ad-hoc-meetings
[Wed 10:10:25] <dlongley>	m4nu: There are ad-hoc meetings that can happen, so for example, on Monday and Tuesday there will be ad-hoc meetings, between the official Web Payments IG meeting.
[Wed 10:10:38] <dlongley>	m4nu: Two hours of IG meeting, 4 hours of ad-hoc meetings, and then 2 hours of IG meeting again.
[Wed 10:11:06] <m4nu>	http://www.w3.org/2014/11/TPAC/#Monday/Tuesday%20Groups
[Wed 10:11:24] <dlongley>	m4nu: The Web Payments IG group is there on Tuesday, see link in IRC.
[Wed 10:11:48] <dlongley>	m4nu: There's a list of people who have registered, but since W3C was late getting the item there on the agenda, people missed it when they registered so we have to tell those people to go back and re-register.
[Wed 10:12:26] <dlongley>	m4nu: So 9am-11am is the start of the IG meeting from 11am-3pm ... we could create identity credentials group meetings as a break out session and then the afternoon is more IG meetings.
[Wed 10:12:39] <dlongley>	m4nu: I'm assuming that we're going to be doing payments use cases for most of the two days in the IG.
[Wed 10:12:49] <dlongley>	m4nu: I'm assuming we'll be doing credentials use cases in the identity meetings.
[Wed 10:13:02] <dlongley>	m4nu: I'm expecting a lot of time will be spent discussing use cases and the implications around those.
[Wed 10:13:18] <adrianhopebailie>	Am I wrong that there is time set aside on Mon and Tues?
[Wed 10:13:20] <dlongley>	m4nu: Is there anything else we should be focusing on other than use cases, such as a roadmap, doing demos, etc.
[Wed 10:14:08] <dlongley>	m4nu: There's a specific time set aside Mon and Tue for the web payments IG which is member only and that's 9-11am and 3-5/6pm. And that's for the official work. The non-official work can happen elsewhere.
[Wed 10:14:32] <dlongley>	m4nu: I think it would be smart for us to do one break out session for identity/credentials on one day and one for web payments on another day so people who aren't in the IG can attend.
[Wed 10:14:47] <dlongley>	m4nu: If there are orgs that want to attend but can't, then we might want to have another session (web payments) in the break out room.
[Wed 10:14:57] <adrianhopebailie>	Having some time set aside for credentials/identity is probabaly a good idea
[Wed 10:14:58] <adrianhopebailie>	+1
[Wed 10:15:17] <dlongley>	m4nu: Adrian, will you be at TPAC?
[Wed 10:15:44] *	dlongley not for me
[Wed 10:16:32] <dlongley>	m4nu: The W3C TPAC thing is a pretty important meeting to make sure we bring everyone up to speed on what's been going on, so what's the general question ...
[Wed 10:16:47] <m4nu>	Adrian: I'm talking to my board about becoming a W3C member, and then attending W3C TPAC.
[Wed 10:17:01] <m4nu>	dlongley: Maybe we should do some demos. Show people the direction that this stuff could head in.
[Wed 10:17:14] <m4nu>	dlongley: IGs going to think about which WGs should be created.
[Wed 10:18:25] <m4nu>	dlongley: The IGs going to create WGs for the identity work?
[Wed 10:18:29] <m4nu>	Yes, that's the plan.
[Wed 10:19:01] <m4nu>	dlongley: We need to make sure the W3C members in the IG are well aware that the identity work has been split off in the CGs
[Wed 10:19:19] <m4nu>	dlongley: They need to understand that we still need that work to happen officially. We should also talk about Roadmaps.
[Wed 10:19:27] <m4nu>	dlongley: We should talk about stuff that's out of scope as well.
[Wed 10:19:40] <m4nu>	dlongley: Like, for example, decentralized clearing solutions - out of scope for version 1.
[Wed 10:20:07] <m4nu>	dlongley: We should talk about a roadmap - we have a lot of these things on the radar, they have been discussed, there is a plan. We want the work to be done in an iterative process.
[Wed 10:20:29] <dlongley>	m4nu: This is bringing up the concept that we should have a roadmap discussion
[Wed 10:20:40] <m4nu>	Start with a brief background/history on what got us to where we are today.
[Wed 10:20:55] <m4nu>	Do a quick overview of the use cases w/o discussion.
[Wed 10:21:16] <m4nu>	Adrian: Identify which of the payments use cases are dependent on the credentials work and which ones aren't.
[Wed 10:21:43] <m4nu>	dlongley: We might want to mention a roadmap fairly early, people might have questions on things on the roadmap. Maybe we can direct the discussion on things that should be handled in first version of the work.
[Wed 10:22:31] <m4nu>	dlongley: We can discuss this as historical background - these are the things that came up, these are the ways they were split out, these are for future versions, etc. We could then go into use cases. We need to make sure that people don't feel this is set in stone, it's just how the work has evolved.
[Wed 10:24:38] <m4nu>	Ok, so first 2 hour chunk is: 1. Overview of W3C and the process, 2. History of Web Payments at W3C and CG work, 3. Where we are now, what we need to accomplish at W3C TPAC 4. Potential Road Map
[Wed 10:25:27] <m4nu>	dlongley: Somewhere in there, we'll be talking about splitting use cases into version 1, and "later"
[Wed 10:25:45] <m4nu>	dlongley: We found that there are two general areas that we need to work on - payments stuff and identity stuff.
[Wed 10:26:19] <m4nu>	dlongley: The breakout session has more to do w/ whether or not people are available.
