[Wed 10:02:36] <manu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Dec/0000.html
[Wed 10:02:37] <dlongley>	Date: 2014-12-04
[Wed 10:02:37] <dlongley>	scribe: dlongley
[Wed 10:02:37] <dlongley>	Present+ taaz
[Wed 10:04:17] <dlongley>	manu: Agenda for today is light - just updates and future planning. The other thing we may want to put on the agenda is talking about the release some of digital bazaar's source code as a commercial product and to discuss a way to allow contributors to the project to revenue share, etc.
[Wed 10:04:26] <dlongley>	manu: Any other changes?
[Wed 10:04:35] <dlongley>	none
[Wed 10:04:37] <manu>	Topic: Scaling Teleconferences Back
[Wed 10:05:14] <dlongley>	manu: There are currently four calls around web payments that are going on every week. The CG, IG, IG Use Cases Task Force, IG payment agent task force.
[Wed 10:05:20] <voip-wp>	bshambaugh (SIP/172.0.212.173-00000089) has joined the conference.
[Wed 10:05:35] <dlongley>	manu: All four of those are going on every week and we may want to scale these CG calls back particularly because we don't have as much attendance on these calls.
[Wed 10:05:40] <dlongley>	manu: We could scale back to once a month.
[Wed 10:05:56] <manu>	dlongley: Once per month for Web Payments CG call is enough.
[Wed 10:06:09] <dlongley>	manu: Of course we can always call for another meeting at any point if we feel that's necessary.
[Wed 10:06:23] <dlongley>	manu: Ok, let's do these once per month from now on. Most of the work will shift to Web Payments IG.
[Wed 10:06:32] <manu>	Topic: Web Payments IG Update
[Wed 10:07:33] <dlongley>	manu: Currently there are multiple streams of work going on in the Web Payments IG. This is good, good discussion, good competent people and everyone excited about the work. We've got folks from Deutsche Telekom, World Bank, W3C, DB, etc. people who have been involved w/W3C a long time and new members.
[Wed 10:07:42] *	bshambaugh has quit (Ping timeout: 258 seconds)
[Wed 10:08:12] <dlongley>	manu: We have three major task forces in IG. I'm heading up Use Cases Task Force, the purpose is to create a Use Cases document. We've taken the CG Use Cases doc and handed it over to them to seed the work. We've got ISO 20022 use cases as well.
[Wed 10:08:24] <dlongley>	manu: A new standard 12812 coming out of X9 and some other use cases from X9.
[Wed 10:09:32] <voip-wp>	Evgeny (SIP/sip2sip.info-0000008a) has joined the conference.
[Wed 10:09:48] *	Evgeny (4d4b9954@gateway/web/freenode/ip.77.75.153.84) has joined #webpayments
[Wed 10:10:00] <dlongley>	manu: All these docs are getting integrated into a single Use Cases doc. We have those calls Thurs 9am EST, only W3C members may join the calls. The other task force is the Payment Agent task force. The Agent is a piece of software that runs payment activities for you on the web. Parallel to the User Agent (browser). The point is to figure out the basic architecture for the Payment Agent, what it does what it can access, etc. Two docs will be created from the task forces and fed into the roadmap doc which will talk about status of payments on the Web. The roadmap doc will also demonstrate what the IG thinks is possible, where the gaps are and what can be done.
[Wed 10:10:52] <dlongley>	manu: There is at least one more task force of interest. The Glossary Task Force's purpose is to make sure the language is aligned with the industry, we aren't inventing new terminology or if we are we put it somewhere so people know what we're talking about. So, everything is moving well in the IG, people are motivated, we're hoping to get some docs out in Q1 in 2015.
[Wed 10:10:58] <dlongley>	manu: Those will be first public working drafts.
[Wed 10:11:08] <dlongley>	manu: That's an update from the Web Payments IG, any questions?
[Wed 10:11:15] <dlongley>	none
