[Tue 22:11:15] <dlongley>	scribe: dlongley
[Tue 22:11:21] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments/2015Feb/0004.html
[Tue 22:11:57] <dlongley>	manu: Any changes to the agenda?
[Tue 22:12:01] <dlongley>	none
[Tue 22:12:01] <dlongley>	Present+ taaz
[Tue 22:12:09] <manu>	Topic: F2F Use Cases
[Tue 22:12:18] <manu>	https://www.w3.org/Payments/IG/wiki/Meeting_Summary_Feb2015#Use_Cases
[Tue 22:12:49] <dlongley>	manu: The following use cases were approved at the Utrecht F2F. It basically covers the steps of a transaction.
[Tue 22:12:56] <manu>	Initiating a Payment
[Tue 22:12:56] <manu>	Partially Blinding Payment Information
[Tue 22:12:56] <manu>	Choosing a Payment Instrument
[Tue 22:12:56] <manu>	Making a Payment Without Registering
[Tue 22:12:56] <manu>	Payer-initiated Funds Transfer
[Tue 22:12:57] <manu>	Limiting Payee-initiated Payments
[Tue 22:12:59] <manu>	Proof of Payment, Hold, or Funds
[Tue 22:13:01] <manu>	Refunds
[Tue 22:13:03] <manu>	Applying Coupons and Loyalty Cards to a Payment
[Tue 22:13:07] <manu>	Performing a Payment in Multiple Phases
[Tue 22:13:58] <dlongley>	manu: The text looks different from the use cases we were looking on because people had problems with us saying "push based payments" or "pseudo anonymity" which was changed to "partially blinding payment information" and "push based payments" was changed to "payer-initiated funds transfer". There were people who had issues with "pull vs. push" payment language, so we'll have to change that.
[Tue 22:14:08] <dlongley>	manu: All the use cases were integrated into the spec, so for example...
[Tue 22:14:23] <manu>	For example, this is a link to the payment initiation use case: https://dvcs.w3.org/hg/webpayments/raw-file/default/latest/use-cases/index.html#initiating-a-payment
[Tue 22:15:11] <dlongley>	manu: We're going to need to refine the use cases a bit and need the web payments CG to review, we'd like to get it out by march so the more reviews we get in the better. People have said that they want the requirements to be stripped out of there.
[Tue 22:16:25] <dlongley>	manu: A number of people felt that the generalized introduction isn't what we wanted to do, rather we wanted a more loosely defined introduction, but the problem with that is the same problem we had when we tried a loose introduction before where people thought it was too vague, etc. So right now we have, in the spec, a fairly technical high-level 1-2 sentence description of it and then talk about points of view (payer, payment processor, etc.) and then we talk about why it's important and a requirements section. That's the template we have right now for the use cases.
[Tue 22:16:48] <manu>	Topic: Desired Outcomes from the Face-to-face
[Tue 22:16:55] <manu>	https://lists.w3.org/Archives/Public/public-webpayments-ig/2015Feb/0002.html
[Tue 22:18:05] <dlongley>	manu: Chaals put together a desired outcomes list; people didn't have an issue with them, he said they were apple pie statements (they are benign). The goals of the group are fast adoption of the technology, create a level playing field, reduce transaction fraud, reduce amount of software necessary, removal of need for merchant to hold onto customer data, etc.
[Tue 22:18:09] <manu>	- A fast and significant adoption of the technology (>100M+ in the first two years).
